sortie_id,pattern_id,gap_id,candidate_id,relay_uav_id,relay_session_id,energy_component_id,dispatch_time_s,arrival_time_s,service_start_s,service_end_s,return_time_s,uav_release_time_s,energy_release_time_s,relay_energy_kWh,outbound_energy_kWh,return_energy_kWh,service_energy_kWh,relay_session_energy_kWh,end_soc,coverage_start_offset_s,coverage_end_offset_s,relay_uav_occupancy_s,energy_component_occupancy_s,dispatch_offset_s,relay_session_end_soc,relay_session_energy_release_time_s
P002874-1,P002874,PG002234,RP082327,R01,R01-RS003,E01,367,721.8355022428693,752.646,1172.835,1385,1685,1814,0.2181281119023439,0.0598285524124071,0.0207418094899367,0.13755775,0.218376,0.9318349650305175,752.646,1172.835,1316.4948779395147,1445.934598247254,367.8104977571307,0.9317575,1814.9277499999998
P001179-1,P001179,PG000886,RP016472,R01,R01-RS001,E03,1701,2408.7805488462477,2439.176,3561.692,4127,4427,4894,0.6580238971947073,0.1726000371315112,0.1332661933965294,0.3521576666666667,2.267201,0.794367532126654,765.176,1887.692,2724.943571589793,3192.265779825143,27.395451153752447,0.2914996875,10814.05040625
P008204-1,P008204,PG004539,RP016472,R01,R01-RS001,E03,1701,2408.7805488462477,2439.494,3478.129,4043,4343,4800,0.6323935916391518,0.1726000371315112,0.1332661933965294,0.3265273611111111,2.267201,0.8023770026127651,740.494,1779.129,2641.062571589793,3097.9724681931984,2.7134511537524304,0.2914996875,10814.05040625
P008233-1,P008233,PG004556,RP016472,R01,R01-RS001,E03,1795,2502.7805488462477,2533.2,3572.759,4138,4438,4895,0.6326759249724851,0.1726000371315112,0.1332661933965294,0.3268096944444444,2.267201,0.8022887734460984,745.2,1784.759,2641.986571589793,3099.0111661098654,7.419451153752448,0.2914996875,10814.05040625
P051203-1,P051203,PG006643,RP016472,R01,R01-RS001,E03,3499,4206.780548846247,4236.832,5095.192,5660,5960,6395,0.577309563861374,0.1726000371315112,0.1332661933965294,0.2714433333333333,2.267201,0.8195907612933206,1414.832,2273.192,2460.787571589793,2895.3195819084763,677.0514511537525,0.2914996875,10814.05040625
P008547-1,P008547,PG004680,RP016472,R01,R01-RS001,E03,5709,6416.780548846247,6447.216,7352.5380000000005,7918,8218,8658,0.591659063861374,0.1726000371315112,0.1332661933965294,0.2857928333333333,2.267201,0.8151065425433206,928.216,1833.538,2507.749571589793,2948.111066283476,190.4354511537524,0.2914996875,10814.05040625
P008402-1,P008402,PG004579,RP016472,R01,R01-RS001,E03,7137,7844.780548846247,7875.502,8827.695,9393,9693,10139,0.6059807583058184,0.1726000371315112,0.1332661933965294,0.3001145277777777,2.267201,0.8106310130294317,812.502,1764.695,2554.620571589793,3000.800254651532,74.72145115375235,0.2914996875,10814.05040625
P008594-1,P008594,PG004720,RP074044,R01,R01-RS002,E01,9693,9999.390718663431,10029.484,10637.222,10792,11092,11288,0.2515399293587688,0.0434514006032604,0.0132241398666194,0.1948643888888888,0.251568,0.9213937720753848,869.484,1477.222,1398.8505744118222,1594.0698103368984,533.0932813365694,0.921385,11287.2745
P016895-1,P016895,PG005650,RP077710,R02,R02-RS004,E02,418,955.6378030114449,985.699,1734.52,2109,2409,2782,0.4263999035745168,0.1028504440524339,0.0855763761887495,0.2379730833333333,0.426418,0.8667500301329635,985.699,1734.52,1990.2870901334045,2363.512050960552,418.061196988555,0.866744375,2782.2323125000003
P050623-1,P050623,PG006584,RP058926,R02,R02-RS002,E04,2409,2871.53981800459,2901.709,4077.155,4398,4698,5108,0.5169767089210426,0.094328087801602,0.0543178988972182,0.3683307222222223,0.517028,0.8384447784621742,953.709,2129.155,2288.0260286686853,2698.047816667859,461.16918199540993,0.8384287500000001,5108.042625
P008500-1,P008500,PG004643,RP055692,R02,R02-RS001,E05,5035,5474.48968035456,5504.642,6591.686,6879,7179,7575,0.484185336193664,0.0858214748643781,0.0570448613292858,0.341319,0.521156,0.84869208243948,943.642,2030.686,2142.994848135877,2539.695140964553,474.15231964544046,0.83713875,7710.719625
P002753-1,P002753,PG002131,RP055692,R02,R02-RS001,E05,5445,5884.48968035456,5914.701,6712.529,6999,7299,7660,0.3958137806381085,0.0858214748643781,0.0570448613292858,0.2529474444444444,0.521156,0.8763081935505911,734.701,1532.529,1853.778848135877,2214.5781965201086,265.2113196454404,0.83713875,7710.719625
P002863-1,P002863,PG002223,RP075602,R02,R02-RS003,E06,7299,7529.625107261465,7560.176,8058.0560000000005,8124,8424,8480,0.1806809493435042,0.0178280946596896,0.0015561880171479,0.1612966666666666,0.180849,0.9435372033301548,675.176,1173.056,1124.3814019110328,1180.0970209310572,414.55089273853474,0.9434846875,8480.04646875
