sortie_id,pattern_id,gap_id,candidate_id,relay_uav_id,relay_session_id,energy_component_id,dispatch_time_s,arrival_time_s,service_start_s,service_end_s,return_time_s,uav_release_time_s,energy_release_time_s,relay_energy_kWh,outbound_energy_kWh,return_energy_kWh,service_energy_kWh,relay_session_energy_kWh,end_soc,coverage_start_offset_s,coverage_end_offset_s,relay_uav_occupancy_s,energy_component_occupancy_s,dispatch_offset_s,relay_session_end_soc,relay_session_energy_release_time_s
P016895-1,P016895,PG005650,RP079359,R01,R01-RS005,E02,414,955.6320796272191,985.699,1734.52,2112,2412,2785,0.427589891653382,0.1028211618437449,0.0867956464763037,0.2379730833333333,0.427611,0.8663781588583181,985.699,1734.52,1997.1054112279085,2370.8138047120947,414.0669203727808,0.8663715625,2785.71696875
P050623-1,P050623,PG006584,RP055677,R01,R01-RS001,E04,2412,2860.370514723585,2890.709,4066.155,4363,4663,5073,0.5161595519695075,0.088749319139614,0.0590795106076711,0.3683307222222223,0.516263,0.8387001400095289,953.709,2129.155,2249.995682706448,2659.6855006940605,475.3384852764148,0.8386678125,5072.73184375
P008500-1,P008500,PG004643,RP065617,R01,R01-RS002,E05,5860,6201.787167028183,6232.642,7319.686,7512,7812,8183,0.4187864096447243,0.054991512427449,0.0224758972172752,0.341319,0.419048,0.8691292469860237,943.642,2030.686,1951.0942795926617,2321.226258510831,571.8548329718169,0.8690475,8182.23825
P002753-1,P002753,PG002131,RP065617,R01,R01-RS002,E05,5861,6202.787167028183,6233.701,7031.529,7224,7524,7859,0.3304148540891687,0.054991512427449,0.0224758972172752,0.2529474444444444,0.419048,0.8967453580971347,734.701,1532.529,1661.8782795926618,1996.1093140663863,362.9138329718169,0.8690475,8182.23825
P002863-1,P002863,PG002223,RP075602,R01,R01-RS004,E06,7812,8042.625107261465,8073.176,8571.056,8637,8937,8993,0.1806809493435042,0.0178280946596896,0.0015561880171479,0.1612966666666666,0.180849,0.9435372033301548,675.176,1173.056,1124.3814019110328,1180.0970209310572,414.55089273853474,0.9434846875,8993.04646875
P008594-1,P008594,PG004720,RP074072,R01,R01-RS003,E01,8937,9249.590621206318,9280.484,9888.222,10047,10347,10555,0.2579809214565339,0.0451149965624816,0.0180015360051634,0.1948643888888888,0.258254,0.9193809620448332,869.484,1477.222,1408.3319046644256,1616.2318437819772,526.8933787936824,0.919295625,10555.437562500001
P002874-1,P002874,PG002234,RP092147,R02,R02-RS002,E01,335,721.8113834763388,752.646,1172.835,1414,1714,1888,0.2406064054030734,0.0697811816667082,0.0332674737363651,0.13755775,0.240861,0.9248104983115396,752.646,1172.835,1378.035009140178,1551.7288697774793,335.8346165236611,0.9247309375,1888.19509375
P008233-1,P008233,PG004556,RP016472,R02,R02-RS001,E03,1714,2421.7805488462477,2452.2,3491.759,4057,4357,4814,0.6326759249724851,0.1726000371315112,0.1332661933965294,0.3268096944444444,2.485673,0.8022887734460984,745.2,1784.759,2641.986571589793,3099.0111661098654,7.419451153752448,0.22322718750000015,11630.80465625
P008204-1,P008204,PG004539,RP016472,R02,R02-RS001,E03,1790,2497.7805488462477,2528.494,3567.129,4132,4432,4889,0.6323935916391518,0.1726000371315112,0.1332661933965294,0.3265273611111111,2.485673,0.8023770026127651,740.494,1779.129,2641.062571589793,3097.9724681931984,2.7134511537524304,0.22322718750000015,11630.80465625
P001179-1,P001179,PG000886,RP016472,R02,R02-RS001,E03,1791,2498.7805488462477,2529.176,3651.692,4217,4517,4984,0.6580238971947073,0.1726000371315112,0.1332661933965294,0.3521576666666667,2.485673,0.794367532126654,765.176,1887.692,2724.943571589793,3192.265779825143,27.395451153752447,0.22322718750000015,11630.80465625
P051203-1,P051203,PG006643,RP016472,R02,R02-RS001,E03,3446,4153.780548846247,4183.832036992569,5095.192,5660,5960,6401,0.5935039970025336,0.1726000371315112,0.1332661933965294,0.287637766474493,2.485673,0.8145300009367082,1361.8320369925684,2273.192,2513.7875345972247,2954.898533379504,624.0514881463208,0.22322718750000015,11630.80465625
P008547-1,P008547,PG004680,RP016472,R02,R02-RS001,E03,5709,6416.780548846247,6447.216,7352.5380000000005,7918,8218,8658,0.591659063861374,0.1726000371315112,0.1332661933965294,0.2857928333333333,2.485673,0.8151065425433206,928.216,1833.538,2507.749571589793,2948.111066283476,190.4354511537524,0.22322718750000015,11630.80465625
P008402-1,P008402,PG004579,RP016472,R02,R02-RS001,E03,7865,8572.780548846247,8603.502,9555.695,10121,10421,10867,0.6059807583058184,0.1726000371315112,0.1332661933965294,0.3001145277777777,2.485673,0.8106310130294317,812.502,1764.695,2554.620571589793,3000.800254651532,74.72145115375235,0.22322718750000015,11630.80465625
