K,group_services,total_resources,total_shortage,work_cv,TUAV_A,TUAV_B,TUAV_C,TBAT_A,TBAT_B,TBAT_C,RUAV,REC
2,S001>S006>S014>S002>S004>S008>S009>S011>S012>S013>S003>S005>S007>S015|S010,24,2,0.8908517589848796,1,3,2,1,4,4,3,6
2,S001>S006>S014>S002>S004>S008>S009>S011>S012>S013>S003>S010|S005>S007>S015,25,3,0.6909049464326419,1,2,3,1,4,5,3,6
2,S001>S006>S014>S002>S004>S008>S009>S011>S012>S013|S003>S005>S007>S015>S010,26,4,0.33804422156371094,1,3,3,1,4,5,3,6
2,S001>S006>S014>S003>S005>S007>S015|S002>S004>S008>S009>S011>S012>S013>S010,29,7,0.03973862168528227,1,3,4,1,5,6,3,6
2,S001>S006>S014>S005>S007>S015|S002>S004>S008>S009>S011>S012>S013>S003>S010,30,8,0.28345110553909275,1,3,4,1,4,7,3,7
2,S001>S006>S014>S003>S010|S002>S004>S008>S009>S011>S012>S013>S005>S007>S015,30,8,0.23968543423751995,1,4,4,1,4,5,4,7
2,S001>S006>S014>S003>S007>S015>S010|S002>S004>S008>S009>S011>S012>S013>S005,30,8,0.05520097257047337,1,4,4,1,4,6,4,6
