rho,type,service,distance,H_up_out,Q_g,V_g,m_energy,E_round_kWh,E_avail_kWh,binding
15,A,S002,7435.2682483091,219.1761596679688,25,0.06,25.0,3.139457,3.825,质量(Q_g)
15,A,S003,7261.065540953848,230.81068115234376,25,0.06,25.0,3.090166,3.825,质量(Q_g)
15,A,S004,7745.651742751971,166.76731567382814,25,0.06,25.0,3.23504,3.825,质量(Q_g)
15,A,S005,5302.0128076982855,91.33955078125,25,0.06,25.0,2.197477,3.825,质量(Q_g)
15,A,S006,3181.0289144316203,197.42722778320316,25,0.06,25.0,1.362037,3.825,质量(Q_g)
15,A,S007,4533.821635606341,236.5220458984375,25,0.06,25.0,2.000523,3.825,质量(Q_g)
15,A,S008,8109.461983662226,170.5891845703125,25,0.06,25.0,3.37273,3.825,质量(Q_g)
15,A,S009,5722.672488722757,208.8618591308594,25,0.06,25.0,2.423555,3.825,质量(Q_g)
15,A,S010,4778.43330136777,243.8816650390625,25,0.06,25.0,2.05134,3.825,质量(Q_g)
15,A,S011,2817.14783394126,127.6607177734375,25,0.06,25.0,1.198914,3.825,质量(Q_g)
15,A,S012,7398.43934212781,249.92396240234376,25,0.06,25.0,3.128931,3.825,质量(Q_g)
15,A,S013,4848.700302599784,244.00806884765623,25,0.06,25.0,2.070267,3.825,质量(Q_g)
15,A,S014,5410.909620502695,243.2825134277344,25,0.06,25.0,2.297046,3.825,质量(Q_g)
15,A,S015,6019.105634595292,388.7627990722656,25,0.06,25.0,2.606962,3.825,质量(Q_g)
15,B,S001,3063.407094930797,153.98289184570314,30,0.073,30.0,1.274284,3.4,质量(Q_g)
15,B,S002,7435.2682483091,219.1761596679688,30,0.073,30.0,3.045646,3.4,质量(Q_g)
15,B,S003,7261.065540953848,230.81068115234376,30,0.073,30.0,2.99725,3.4,质量(Q_g)
15,B,S004,7745.651742751971,166.76731567382814,30,0.073,30.0,3.138265,3.4,质量(Q_g)
15,B,S005,5302.0128076982855,91.33955078125,30,0.073,30.0,2.131858,3.4,质量(Q_g)
15,B,S006,3181.0289144316203,197.42722778320316,30,0.073,30.0,1.323215,3.4,质量(Q_g)
