from,to,distance_old,h_max_old,cruise_height_old,climb_height_old,descent_height_old,distance_new,h_max_new,cruise_height_new,climb_height_new,descent_height_new,delta_h_max,delta_cruise_height
O01,S001,3063.407094930797,231.68289184570312,281.6828918457031,153.98289184570314,97.68289184570312,3063.407094930797,223.05661010742188,273.0566101074219,145.3566101074219,89.05661010742188,-8.62628173828125,-8.62628173828125
O01,S002,7435.2682483091,296.87615966796875,346.87615966796875,219.1761596679688,127.37615966796876,7435.2682483091,258.9542541503906,308.9542541503906,181.25425415039064,89.45425415039062,-37.921905517578125,-37.921905517578125
O01,S003,7261.065540953848,308.5106811523437,358.5106811523437,230.81068115234376,20.01068115234375,7261.065540953848,511.80413818359375,561.8041381835938,434.10413818359376,223.30413818359372,203.29345703125006,203.29345703125006
O01,S004,7745.651742751971,244.46731567382807,294.4673156738281,166.76731567382814,66.16731567382811,7745.651742751971,348.2391662597656,398.2391662597656,270.53916625976564,169.9391662597656,103.77185058593756,103.7718505859375
O01,S005,5302.0128076982855,169.03955078125,219.03955078125,91.33955078125,24.03955078125,5302.0128076982855,276.410888671875,326.410888671875,198.710888671875,131.410888671875,107.371337890625,107.371337890625
O01,S006,3181.0289144316203,275.1272277832031,325.1272277832031,197.42722778320316,10.327227783203114,3181.0289144316203,316.09783935546875,366.0978393554688,238.3978393554688,51.29783935546874,40.970611572265625,40.97061157226568
O01,S007,4533.821635606341,314.2220458984375,364.2220458984375,236.5220458984375,15.7220458984375,4533.821635606341,461.9731750488281,511.9731750488281,384.27317504882814,163.47317504882812,147.75112915039062,147.75112915039062
O01,S008,8109.461983662226,248.2891845703125,298.2891845703125,170.5891845703125,27.389184570312523,8109.461983662226,322.9093322753906,372.9093322753906,245.20933227539064,102.00933227539063,74.62014770507812,74.62014770507812
O01,S009,5722.672488722757,286.5618591308594,336.5618591308594,208.8618591308594,106.56185913085938,5722.672488722757,243.2289123535156,293.2289123535156,165.52891235351564,63.228912353515625,-43.33294677734378,-43.33294677734375
O01,S010,4778.43330136777,321.5816650390625,371.5816650390625,243.8816650390625,19.98166503906248,4778.43330136777,385.6365356445313,435.6365356445313,307.93653564453126,84.03653564453123,64.0548706054688,64.0548706054688
