candidate_id,lon,lat,ground_height,agl_height,absolute_height,relay_g01_available,relay_g01_margin_db,relay_g01_margin_lower_bound
R000001,109.21569444444445,23.13513888888889,601.6179809570312,220.0,821.6179809570312,1,2.9112162386654745,0
R000002,109.21569444444445,23.13513888888889,601.6179809570312,240.0,841.6179809570312,1,2.910625544206681,0
R000003,109.21569444444445,23.13513888888889,601.6179809570312,260.0,861.6179809570312,1,2.910017659797475,0
R000004,109.21569444444445,23.13513888888889,601.6179809570312,280.0,881.6179809570312,1,2.909392592666478,0
R000005,109.21569444444445,23.13513888888889,601.6179809570312,300.0,901.6179809570312,1,2.9087503502441763,0
R000006,109.21680555555555,23.13513888888889,588.3012084960938,220.0,808.3012084960938,1,2.9189397965465105,0
R000007,109.21680555555555,23.13513888888889,588.3012084960938,240.0,828.3012084960938,1,2.9183595720158593,0
R000008,109.21680555555555,23.13513888888889,588.3012084960938,260.0,848.3012084960938,1,2.91776212388811,0
R000009,109.21680555555555,23.13513888888889,588.3012084960938,280.0,868.3012084960938,1,2.91714745928131,0
R000010,109.21680555555555,23.13513888888889,588.3012084960938,300.0,888.3012084960938,1,2.916515585516237,0
R000011,109.21791666666667,23.13513888888889,614.1944580078125,200.0,814.1944580078125,1,2.925562663001614,0
R000012,109.21791666666667,23.13513888888889,614.1944580078125,220.0,834.1944580078125,1,2.924976446574334,0
R000013,109.21791666666667,23.13513888888889,614.1944580078125,240.0,854.1944580078125,1,2.924372981802989,0
R000014,109.21791666666667,23.13513888888889,614.1944580078125,260.0,874.1944580078125,1,2.92375227588785,0
R000015,109.21791666666667,23.13513888888889,614.1944580078125,280.0,894.1944580078125,1,2.9231143362324445,0
R000016,109.21791666666667,23.13513888888889,614.1944580078125,300.0,914.1944580078125,1,2.9224591704432896,0
R000017,109.21902777777778,23.13513888888889,633.1339721679688,180.0,813.1339721679688,1,2.9318353093170373,0
R000018,109.21902777777778,23.13513888888889,633.1339721679688,200.0,833.1339721679688,1,2.9312491658754993,0
R000019,109.21902777777778,23.13513888888889,633.1339721679688,220.0,853.1339721679688,1,2.930645749025004,0
R000020,109.21902777777778,23.13513888888889,633.1339721679688,240.0,873.1339721679688,1,2.9300250659756983,0
R000021,109.21902777777778,23.13513888888889,633.1339721679688,260.0,893.1339721679688,1,2.92938712414157,0
R000022,109.21902777777778,23.13513888888889,633.1339721679688,280.0,913.1339721679688,1,2.92873193114022,0
R000023,109.21902777777778,23.13513888888889,633.1339721679688,300.0,933.1339721679688,1,2.928059494792464,0
R000024,109.22013888888888,23.13513888888889,604.9570922851562,140.0,744.9570922851562,1,2.939395540161101,0
R000025,109.22013888888888,23.13513888888889,604.9570922851562,160.0,764.9570922851562,1,2.9388676390932744,0
R000026,109.22013888888888,23.13513888888889,604.9570922851562,180.0,784.9570922851562,1,2.938322418979368,0
R000027,109.22013888888888,23.13513888888889,604.9570922851562,200.0,804.9570922851562,1,2.9377598863494825,0
R000028,109.22013888888888,23.13513888888889,604.9570922851562,220.0,824.9570922851562,1,2.937180047939094,0
R000029,109.22013888888888,23.13513888888889,604.9570922851562,240.0,844.9570922851562,1,2.93658291068877,0
R000030,109.22013888888888,23.13513888888889,604.9570922851562,260.0,864.9570922851562,1,2.9359684817438847,0
R000031,109.22013888888888,23.13513888888889,604.9570922851562,280.0,884.9570922851562,1,2.935336768454306,0
R000032,109.22013888888888,23.13513888888889,604.9570922851562,300.0,904.9570922851562,1,2.9346877783741405,0
R000033,109.22125,23.13513888888889,560.8570556640625,120.0,680.8570556640625,1,2.946109744538802,0
R000034,109.22125,23.13513888888889,560.8570556640625,140.0,700.8570556640625,1,2.9456368334034835,0
R000035,109.22125,23.13513888888889,560.8570556640625,160.0,720.8570556640625,1,2.9451465632160136,0
R000036,109.22125,23.13513888888889,560.8570556640625,180.0,740.8570556640625,1,2.9446389398605675,0
R000037,109.22125,23.13513888888889,560.8570556640625,200.0,760.8570556640625,1,2.9441139694279457,0
R000038,109.22125,23.13513888888889,560.8570556640625,220.0,780.8570556640625,1,2.9435716582153475,0
R000039,109.22125,23.13513888888889,560.8570556640625,240.0,800.8570556640625,1,2.943012012726143,0
R000040,109.22125,23.13513888888889,560.8570556640625,260.0,820.8570556640625,1,2.942435039669533,0
R000041,109.22125,23.13513888888889,560.8570556640625,280.0,840.8570556640625,1,2.941840745960377,0
R000042,109.22125,23.13513888888889,560.8570556640625,300.0,860.8570556640625,1,2.9412291387188674,0
R000043,109.22236111111111,23.13513888888889,551.26171875,140.0,691.26171875,1,2.950447646827058,0
R000044,109.22236111111111,23.13513888888889,551.26171875,160.0,711.26171875,1,2.9499651955314334,0
R000045,109.22236111111111,23.13513888888889,551.26171875,180.0,731.26171875,1,2.9494653699595403,0
R000046,109.22236111111111,23.13513888888889,551.26171875,200.0,751.26171875,1,2.9489481761156924,0
R000047,109.22236111111111,23.13513888888889,551.26171875,220.0,771.26171875,1,2.9484136202112126,0
R000048,109.22236111111111,23.13513888888889,551.26171875,240.0,791.26171875,1,2.947861708664078,0
R000049,109.22236111111111,23.13513888888889,551.26171875,260.0,811.26171875,1,2.9472924480986933,0
R000050,109.22236111111111,23.13513888888889,551.26171875,280.0,831.26171875,1,2.9467058453456616,0
R000051,109.22236111111111,23.13513888888889,551.26171875,300.0,851.26171875,1,2.946101907441488,0
R000052,109.21569444444445,23.134027777777778,547.8557739257812,260.0,807.8557739257812,1,2.987072485864644,0
R000053,109.21569444444445,23.134027777777778,547.8557739257812,280.0,827.8557739257812,1,2.9864834790117385,0
R000054,109.21569444444445,23.134027777777778,547.8557739257812,300.0,847.8557739257812,1,2.9858769774350407,0
R000055,109.21680555555555,23.134027777777778,551.3094482421875,260.0,811.3094482421875,1,2.9944404780299294,0
R000056,109.21680555555555,23.134027777777778,551.3094482421875,280.0,831.3094482421875,1,2.9938474307050456,0
R000057,109.21680555555555,23.134027777777778,551.3094482421875,300.0,851.3094482421875,1,2.993236859947345,0
R000058,109.21791666666667,23.134027777777778,599.3544921875,200.0,799.3544921875,1,3.0016987291397186,0
R000059,109.21791666666667,23.134027777777778,599.3544921875,220.0,819.3544921875,1,3.0011152319762004,0
