gap_id,pattern_id,coverage_start_s,coverage_end_s,before_state_id,after_state_id,required_samples,relay_alternatives,full_cover_alternatives,union_covered_samples,union_cover_pass
PG000071,P000104,735.176,1298.434,BS000013,BS000014,57,8,8,57,1
PG000073,P000106,735.176,1298.434,BS000013,BS000014,57,8,8,57,1
PG000074,P000107,735.176,1298.434,BS000013,BS000014,57,8,8,57,1
PG000075,P000108,752.646,1142.475,BS000015,BS000016,39,12,12,39,1
PG000076,P000109,752.646,1142.475,BS000015,BS000016,39,12,12,39,1
PG000078,P000111,752.646,1142.475,BS000015,BS000016,39,12,12,39,1
PG000077,P000110,782.646,1202.475,BS000015,BS000016,42,12,12,42,1
PG000079,P000112,782.646,1202.475,BS000015,BS000016,42,12,12,42,1
PG000080,P000113,782.646,1202.475,BS000015,BS000016,42,12,12,42,1
PG000081,P000120,745.2,1609.638,BS000017,BS000018,87,15,15,87,1
PG000082,P000121,745.2,1609.638,BS000017,BS000018,87,15,15,87,1
PG000084,P000123,745.2,1609.638,BS000017,BS000018,87,15,15,87,1
PG000083,P000122,775.2,1669.638,BS000017,BS000018,90,15,15,90,1
PG000085,P000124,775.2,1669.638,BS000017,BS000018,90,15,15,90,1
PG000086,P000125,775.2,1669.638,BS000017,BS000018,90,15,15,90,1
PG000087,P000126,740.494,1119.372,BS000019,BS000020,38,5,5,38,1
PG000088,P000127,740.494,1119.372,BS000019,BS000020,38,5,5,38,1
PG000090,P000129,740.494,1119.372,BS000019,BS000020,38,5,5,38,1
PG000089,P000128,770.494,1179.372,BS000019,BS000020,41,5,5,41,1
PG000091,P000130,770.494,1179.372,BS000019,BS000020,41,5,5,41,1
PG000092,P000131,770.494,1179.372,BS000019,BS000020,41,5,5,41,1
PG000093,P000132,804.749,1422.353,BS000021,BS000022,63,3,3,63,1
PG000094,P000133,804.749,1422.353,BS000021,BS000022,63,3,3,63,1
PG000096,P000135,804.749,1422.353,BS000021,BS000022,63,3,3,63,1
PG000095,P000134,834.749,1482.353,BS000021,BS000022,66,3,3,66,1
PG000097,P000136,834.749,1482.353,BS000021,BS000022,66,3,3,66,1
PG000098,P000137,834.749,1482.353,BS000021,BS000022,66,3,3,66,1
PG000099,P000138,798.033,1410.978,BS000023,BS000024,62,15,15,62,1
PG000100,P000139,798.033,1410.978,BS000023,BS000024,62,15,15,62,1
PG000102,P000141,798.033,1410.978,BS000023,BS000024,62,15,15,62,1
PG000101,P000140,828.033,1470.978,BS000023,BS000024,65,15,15,65,1
PG000103,P000142,828.033,1470.978,BS000023,BS000024,65,15,15,65,1
PG000104,P000143,828.033,1470.978,BS000023,BS000024,65,15,15,65,1
PG000105,P000144,991.107,1831.416,BS000025,BS000002,84,15,15,84,1
PG000107,P000146,991.107,1831.416,BS000025,BS000002,84,15,15,84,1
PG000109,P000148,991.107,1831.416,BS000025,BS000002,84,15,15,84,1
PG000111,P000150,991.107,1831.416,BS000025,BS000002,84,15,15,84,1
PG000112,P000152,991.107,1831.416,BS000025,BS000002,84,15,15,84,1
PG000114,P000154,991.107,1831.416,BS000025,BS000002,84,15,15,84,1
PG000116,P000156,991.107,1831.416,BS000025,BS000002,84,15,15,84,1
PG000118,P000158,991.107,1831.416,BS000025,BS000002,84,15,15,84,1
PG000120,P000160,991.107,1831.416,BS000025,BS000002,84,15,15,84,1
PG000122,P000162,991.107,1831.416,BS000025,BS000002,84,15,15,84,1
PG000124,P000164,991.107,1831.416,BS000025,BS000002,84,15,15,84,1
PG000126,P000166,991.107,1831.416,BS000025,BS000002,84,15,15,84,1
PG000128,P000168,991.107,1831.416,BS000025,BS000002,84,15,15,84,1
PG000130,P000170,991.107,1831.416,BS000025,BS000002,84,15,15,84,1
PG000139,P000180,1051.107,1891.416,BS000025,BS000002,84,15,15,84,1
PG000141,P000182,1051.107,1891.416,BS000025,BS000002,84,15,15,84,1
PG000143,P000184,1051.107,1891.416,BS000025,BS000002,84,15,15,84,1
PG000145,P000186,1051.107,1891.416,BS000025,BS000002,84,15,15,84,1
PG000147,P000188,991.107,1831.416,BS000025,BS000002,84,15,15,84,1
PG000149,P000190,991.107,1831.416,BS000025,BS000002,84,15,15,84,1
PG000151,P000192,991.107,1831.416,BS000025,BS000002,84,15,15,84,1
PG000153,P000194,991.107,1831.416,BS000025,BS000002,84,15,15,84,1
PG000154,P000196,991.107,1831.416,BS000025,BS000002,84,15,15,84,1
PG000163,P000206,1051.107,1891.416,BS000025,BS000002,84,15,15,84,1
PG000165,P000208,1051.107,1891.416,BS000025,BS000002,84,15,15,84,1
PG000167,P000210,1051.107,1891.416,BS000025,BS000002,84,15,15,84,1
PG000169,P000212,1051.107,1891.416,BS000025,BS000002,84,15,15,84,1
PG000171,P000214,1051.107,1891.416,BS000025,BS000002,84,15,15,84,1
PG000173,P000216,1051.107,1891.416,BS000025,BS000002,84,15,15,84,1
PG000175,P000218,1051.107,1891.416,BS000025,BS000002,84,15,15,84,1
PG000177,P000220,1051.107,1891.416,BS000025,BS000002,84,15,15,84,1
PG000179,P000222,1051.107,1891.416,BS000025,BS000002,84,15,15,84,1
PG000106,P000145,740.418,1585.72,BS000001,BS000026,84,15,15,84,1
PG000108,P000147,740.418,1585.72,BS000001,BS000026,84,15,15,84,1
PG000110,P000149,740.418,1585.72,BS000001,BS000026,84,15,15,84,1
PG000113,P000153,740.418,1585.72,BS000001,BS000026,84,15,15,84,1
PG000115,P000155,740.418,1585.72,BS000001,BS000026,84,15,15,84,1
PG000117,P000157,740.418,1585.72,BS000001,BS000026,84,15,15,84,1
PG000119,P000159,740.418,1585.72,BS000001,BS000026,84,15,15,84,1
PG000121,P000161,740.418,1585.72,BS000001,BS000026,84,15,15,84,1
PG000123,P000163,740.418,1585.72,BS000001,BS000026,84,15,15,84,1
PG000125,P000165,740.418,1585.72,BS000001,BS000026,84,15,15,84,1
PG000127,P000167,740.418,1585.72,BS000001,BS000026,84,15,15,84,1
PG000129,P000169,740.418,1585.72,BS000001,BS000026,84,15,15,84,1
PG000140,P000181,770.418,1615.72,BS000001,BS000026,84,15,15,84,1
PG000142,P000183,770.418,1615.72,BS000001,BS000026,84,15,15,84,1
PG000144,P000185,770.418,1615.72,BS000001,BS000026,84,15,15,84,1
PG000146,P000187,770.418,1615.72,BS000001,BS000026,84,15,15,84,1
PG000148,P000189,740.418,1585.72,BS000001,BS000026,84,15,15,84,1
PG000150,P000191,740.418,1585.72,BS000001,BS000026,84,15,15,84,1
PG000152,P000193,740.418,1585.72,BS000001,BS000026,84,15,15,84,1
PG000164,P000207,770.418,1615.72,BS000001,BS000026,84,15,15,84,1
PG000166,P000209,770.418,1615.72,BS000001,BS000026,84,15,15,84,1
PG000168,P000211,770.418,1615.72,BS000001,BS000026,84,15,15,84,1
PG000170,P000213,770.418,1615.72,BS000001,BS000026,84,15,15,84,1
PG000172,P000215,770.418,1615.72,BS000001,BS000026,84,15,15,84,1
PG000174,P000217,770.418,1615.72,BS000001,BS000026,84,15,15,84,1
PG000176,P000219,770.418,1615.72,BS000001,BS000026,84,15,15,84,1
PG000178,P000221,770.418,1615.72,BS000001,BS000026,84,15,15,84,1
PG000180,P000223,770.418,1615.72,BS000001,BS000026,84,15,15,84,1
PG000131,P000172,1021.107,1891.416,BS000025,BS000002,87,15,15,87,1
PG000133,P000174,1021.107,1891.416,BS000025,BS000002,87,15,15,87,1
PG000135,P000176,1021.107,1891.416,BS000025,BS000002,87,15,15,87,1
PG000137,P000178,1021.107,1891.416,BS000025,BS000002,87,15,15,87,1
PG000155,P000198,1021.107,1891.416,BS000025,BS000002,87,15,15,87,1
PG000157,P000200,1021.107,1891.416,BS000025,BS000002,87,15,15,87,1
PG000159,P000202,1021.107,1891.416,BS000025,BS000002,87,15,15,87,1
PG000161,P000204,1021.107,1891.416,BS000025,BS000002,87,15,15,87,1
PG000132,P000173,770.418,1645.72,BS000001,BS000026,87,15,15,87,1
PG000134,P000175,770.418,1645.72,BS000001,BS000026,87,15,15,87,1
PG000136,P000177,770.418,1645.72,BS000001,BS000026,87,15,15,87,1
PG000138,P000179,770.418,1645.72,BS000001,BS000026,87,15,15,87,1
PG000156,P000199,770.418,1645.72,BS000001,BS000026,87,15,15,87,1
PG000158,P000201,770.418,1645.72,BS000001,BS000026,87,15,15,87,1
PG000160,P000203,770.418,1645.72,BS000001,BS000026,87,15,15,87,1
PG000162,P000205,770.418,1645.72,BS000001,BS000026,87,15,15,87,1
PG000181,P000224,1303.34,2261.974,BS000027,BS000004,96,9,9,96,1
PG000182,P000225,1303.34,2261.974,BS000027,BS000004,96,9,9,96,1
PG000183,P000226,1303.34,2261.974,BS000027,BS000004,96,9,9,96,1
PG000185,P000228,1303.34,2261.974,BS000027,BS000004,96,9,9,96,1
PG000187,P000231,1303.34,2261.974,BS000027,BS000004,96,9,9,96,1
PG000189,P000233,1303.34,2261.974,BS000027,BS000004,96,9,9,96,1
PG000191,P000235,1303.34,2261.974,BS000027,BS000004,96,9,9,96,1
PG000196,P000241,1363.34,2321.974,BS000027,BS000004,96,9,9,96,1
PG000197,P000242,1363.34,2321.974,BS000027,BS000004,96,9,9,96,1
PG000198,P000243,1363.34,2321.974,BS000027,BS000004,96,9,9,96,1
PG000199,P000244,1363.34,2321.974,BS000027,BS000004,96,9,9,96,1
PG000200,P000245,1303.34,2261.974,BS000027,BS000004,96,9,9,96,1
PG000202,P000247,1303.34,2261.974,BS000027,BS000004,96,9,9,96,1
PG000203,P000249,1303.34,2261.974,BS000027,BS000004,96,9,9,96,1
PG000208,P000255,1363.34,2321.974,BS000027,BS000004,96,9,9,96,1
PG000209,P000256,1363.34,2321.974,BS000027,BS000004,96,9,9,96,1
PG000210,P000257,1363.34,2321.974,BS000027,BS000004,96,9,9,96,1
PG000211,P000258,1363.34,2321.974,BS000027,BS000004,96,9,9,96,1
PG000212,P000259,1363.34,2321.974,BS000027,BS000004,96,9,9,96,1
PG000214,P000261,1363.34,2321.974,BS000027,BS000004,96,9,9,96,1
PG000184,P000227,824.701,1791.593,BS000003,BS000028,97,9,9,97,1
PG000186,P000230,824.701,1791.593,BS000003,BS000028,97,9,9,97,1
PG000188,P000232,824.701,1791.593,BS000003,BS000028,97,9,9,97,1
PG000190,P000234,824.701,1791.593,BS000003,BS000028,97,9,9,97,1
PG000201,P000246,824.701,1791.593,BS000003,BS000028,97,9,9,97,1
PG000213,P000260,854.701,1821.593,BS000003,BS000028,97,9,9,97,1
PG000192,P000237,1333.34,2321.974,BS000027,BS000004,99,9,9,99,1
PG000194,P000239,1333.34,2321.974,BS000027,BS000004,99,9,9,99,1
PG000204,P000251,1333.34,2321.974,BS000027,BS000004,99,9,9,99,1
PG000206,P000253,1333.34,2321.974,BS000027,BS000004,99,9,9,99,1
PG000193,P000238,854.701,1851.593,BS000003,BS000028,100,9,9,100,1
PG000195,P000240,854.701,1851.593,BS000003,BS000028,100,9,9,100,1
PG000205,P000252,854.701,1851.593,BS000003,BS000028,100,9,9,100,1
PG000207,P000254,854.701,1851.593,BS000003,BS000028,100,9,9,100,1
PG000215,P000264,1154.285,1895.405,BS000029,BS000006,75,14,14,75,1
PG000217,P000266,1154.285,1895.405,BS000029,BS000006,75,14,14,75,1
PG000219,P000268,1154.285,1895.405,BS000029,BS000006,75,14,14,75,1
PG000221,P000270,1154.285,1895.405,BS000029,BS000006,75,14,14,75,1
PG000222,P000272,1154.285,1895.405,BS000029,BS000006,75,14,14,75,1
PG000224,P000274,1154.285,1895.405,BS000029,BS000006,75,14,14,75,1
PG000226,P000276,1154.285,1895.405,BS000029,BS000006,75,14,14,75,1
PG000228,P000278,1154.285,1895.405,BS000029,BS000006,75,14,14,75,1
PG000230,P000280,1154.285,1895.405,BS000029,BS000006,75,14,14,75,1
PG000232,P000282,1154.285,1895.405,BS000029,BS000006,75,14,14,75,1
PG000234,P000284,1154.285,1895.405,BS000029,BS000006,75,14,14,75,1
PG000236,P000286,1154.285,1895.405,BS000029,BS000006,75,14,14,75,1
PG000238,P000288,1154.285,1895.405,BS000029,BS000006,75,14,14,75,1
PG000239,P000290,1154.285,1895.405,BS000029,BS000006,75,14,14,75,1
PG000248,P000300,1214.285,1955.405,BS000029,BS000006,75,14,14,75,1
PG000250,P000302,1214.285,1955.405,BS000029,BS000006,75,14,14,75,1
PG000252,P000304,1214.285,1955.405,BS000029,BS000006,75,14,14,75,1
PG000254,P000306,1214.285,1955.405,BS000029,BS000006,75,14,14,75,1
PG000255,P000308,1154.285,1895.405,BS000029,BS000006,75,14,14,75,1
PG000257,P000310,1154.285,1895.405,BS000029,BS000006,75,14,14,75,1
PG000259,P000312,1154.285,1895.405,BS000029,BS000006,75,14,14,75,1
PG000261,P000314,1154.285,1895.405,BS000029,BS000006,75,14,14,75,1
