flight_id,uav_id,time,phase,x,y,z,distance_3d_m,terrain_blocked,terrain_intrusion_m,fspl_db,terrain_loss_db,path_loss_db,uplink_limit_db,downlink_limit_db,bidirectional_limit_db,link_margin_db,direct
1,U01,0.0,setup,109.2308517,23.0085095,127.7,19.999999999999986,0,0.0,66.07482474751174,0.0,66.07482474751174,122.0,129.0,122.0,55.92517525248826,1
1,U01,10.0,setup,109.2308517,23.0085095,127.7,19.999999999999986,0,0.0,66.07482474751174,0.0,66.07482474751174,122.0,129.0,122.0,55.92517525248826,1
1,U01,20.0,setup,109.2308517,23.0085095,127.7,19.999999999999986,0,0.0,66.07482474751174,0.0,66.07482474751174,122.0,129.0,122.0,55.92517525248826,1
1,U01,30.0,setup,109.2308517,23.0085095,127.7,19.999999999999986,0,0.0,66.07482474751174,0.0,66.07482474751174,122.0,129.0,122.0,55.92517525248826,1
1,U01,40.0,setup,109.2308517,23.0085095,127.7,19.999999999999986,0,0.0,66.07482474751174,0.0,66.07482474751174,122.0,129.0,122.0,55.92517525248826,1
1,U01,50.0,setup,109.2308517,23.0085095,127.7,19.999999999999986,0,0.0,66.07482474751174,0.0,66.07482474751174,122.0,129.0,122.0,55.92517525248826,1
1,U01,60.0,setup,109.2308517,23.0085095,127.7,19.999999999999986,0,0.0,66.07482474751174,0.0,66.07482474751174,122.0,129.0,122.0,55.92517525248826,1
1,U01,70.0,setup,109.2308517,23.0085095,127.7,19.999999999999986,0,0.0,66.07482474751174,0.0,66.07482474751174,122.0,129.0,122.0,55.92517525248826,1
1,U01,80.0,setup,109.2308517,23.0085095,127.7,19.999999999999986,0,0.0,66.07482474751174,0.0,66.07482474751174,122.0,129.0,122.0,55.92517525248826,1
1,U01,90.0,setup,109.2308517,23.0085095,127.7,19.999999999999986,0,0.0,66.07482474751174,0.0,66.07482474751174,122.0,129.0,122.0,55.92517525248826,1
1,U01,100.0,setup,109.2308517,23.0085095,127.7,19.999999999999986,0,0.0,66.07482474751174,0.0,66.07482474751174,122.0,129.0,122.0,55.92517525248826,1
1,U01,110.0,setup,109.2308517,23.0085095,127.7,19.999999999999986,0,0.0,66.07482474751174,0.0,66.07482474751174,122.0,129.0,122.0,55.92517525248826,1
1,U01,120.0,setup,109.2308517,23.0085095,127.7,19.999999999999986,0,0.0,66.07482474751174,0.0,66.07482474751174,122.0,129.0,122.0,55.92517525248826,1
1,U01,130.0,setup,109.2308517,23.0085095,127.7,19.999999999999986,0,0.0,66.07482474751174,0.0,66.07482474751174,122.0,129.0,122.0,55.92517525248826,1
1,U01,140.0,setup,109.2308517,23.0085095,127.7,19.999999999999986,0,0.0,66.07482474751174,0.0,66.07482474751174,122.0,129.0,122.0,55.92517525248826,1
1,U01,150.0,setup,109.2308517,23.0085095,127.7,19.999999999999986,0,0.0,66.07482474751174,0.0,66.07482474751174,122.0,129.0,122.0,55.92517525248826,1
1,U01,160.0,setup,109.2308517,23.0085095,127.7,19.999999999999986,0,0.0,66.07482474751174,0.0,66.07482474751174,122.0,129.0,122.0,55.92517525248826,1
1,U01,170.0,setup,109.2308517,23.0085095,127.7,19.999999999999986,0,0.0,66.07482474751174,0.0,66.07482474751174,122.0,129.0,122.0,55.92517525248826,1
1,U01,180.0,setup,109.2308517,23.0085095,127.7,19.999999999999986,0,0.0,66.07482474751174,0.0,66.07482474751174,122.0,129.0,122.0,55.92517525248826,1
1,U01,190.0,setup,109.2308517,23.0085095,127.7,19.999999999999986,0,0.0,66.07482474751174,0.0,66.07482474751174,122.0,129.0,122.0,55.92517525248826,1
