task_id,tau,x,y,z,phase,node
R000001,0.0,109.2308517,23.0085095,127.7,setup,O01
R000001,10.0,109.2308517,23.0085095,127.7,setup,O01
R000001,20.0,109.2308517,23.0085095,127.7,setup,O01
R000001,30.0,109.2308517,23.0085095,127.7,setup,O01
R000001,40.0,109.2308517,23.0085095,127.7,setup,O01
R000001,50.0,109.2308517,23.0085095,127.7,setup,O01
R000001,60.0,109.2308517,23.0085095,127.7,setup,O01
R000001,70.0,109.2308517,23.0085095,127.7,setup,O01
R000001,80.0,109.2308517,23.0085095,127.7,setup,O01
R000001,90.0,109.2308517,23.0085095,127.7,setup,O01
R000001,100.0,109.2308517,23.0085095,127.7,setup,O01
R000001,110.0,109.2308517,23.0085095,127.7,setup,O01
R000001,120.0,109.2308517,23.0085095,127.7,setup,O01
R000001,130.0,109.2308517,23.0085095,127.7,setup,O01
R000001,140.0,109.2308517,23.0085095,127.7,setup,O01
R000001,150.0,109.2308517,23.0085095,127.7,setup,O01
R000001,160.0,109.2308517,23.0085095,127.7,setup,O01
R000001,170.0,109.2308517,23.0085095,127.7,setup,O01
R000001,180.0,109.2308517,23.0085095,127.7,setup,O01
R000001,190.0,109.2308517,23.0085095,127.7,setup,O01
R000001,200.0,109.2308517,23.0085095,127.7,setup,O01
R000001,210.0,109.2308517,23.0085095,127.7,setup,O01
R000001,220.0,109.2308517,23.0085095,127.7,setup,O01
R000001,230.0,109.2308517,23.0085095,127.7,setup,O01
R000001,240.0,109.2308517,23.0085095,127.7,setup,O01
R000001,250.0,109.2308517,23.0085095,127.7,setup,O01
R000001,260.0,109.2308517,23.0085095,127.7,setup,O01
R000001,270.0,109.2308517,23.0085095,127.7,setup,O01
R000001,280.0,109.2308517,23.0085095,127.7,setup,O01
R000001,290.0,109.2308517,23.0085095,127.7,setup,O01
R000001,300.0,109.2308517,23.0085095,127.7,setup,O01
R000001,310.0,109.2308517,23.0085095,127.7,setup,O01
R000001,320.0,109.2308517,23.0085095,127.7,setup,O01
R000001,330.0,109.2308517,23.0085095,127.7,climb,O01
R000001,340.0,109.2308517,23.0085095,157.7,climb,O01
R000001,350.0,109.2308517,23.0085095,187.7,climb,O01
R000001,360.0,109.2308517,23.0085095,217.70000000000002,climb,O01
R000001,370.0,109.2308517,23.0085095,247.7,climb,O01
R000001,380.0,109.2308517,23.0085095,277.7,climb,O01
R000001,381.3276306152344,109.2308517,23.0085095,281.6828918457031,cruise,
R000001,391.3276306152344,109.2313366580725,23.009492060889468,281.6828918457031,cruise,
R000001,401.3276306152344,109.23182161614497,23.010474621778936,281.6828918457031,cruise,
R000001,411.3276306152344,109.23230657421746,23.011457182668405,281.6828918457031,cruise,
R000001,421.3276306152344,109.23279153228995,23.012439743557874,281.6828918457031,cruise,
R000001,431.3276306152344,109.23327649036244,23.013422304447342,281.6828918457031,cruise,
R000001,441.3276306152344,109.23376144843492,23.01440486533681,281.6828918457031,cruise,
R000001,451.3276306152344,109.23424640650741,23.01538742622628,281.6828918457031,cruise,
R000001,461.3276306152344,109.2347313645799,23.01636998711575,281.6828918457031,cruise,
R000001,471.3276306152344,109.23521632265238,23.017352548005217,281.6828918457031,cruise,
R000001,481.3276306152344,109.23570128072487,23.018335108894686,281.6828918457031,cruise,
R000001,491.3276306152344,109.23618623879736,23.019317669784154,281.6828918457031,cruise,
R000001,501.3276306152344,109.23667119686984,23.020300230673623,281.6828918457031,cruise,
R000001,511.3276306152344,109.23715615494233,23.02128279156309,281.6828918457031,cruise,
R000001,521.3276306152344,109.23764111301482,23.02226535245256,281.6828918457031,cruise,
R000001,531.3276306152344,109.23812607108731,23.02324791334203,281.6828918457031,cruise,
R000001,541.3276306152344,109.23861102915978,23.024230474231498,281.6828918457031,cruise,
R000001,551.3276306152344,109.23909598723228,23.025213035120967,281.6828918457031,cruise,
R000001,561.3276306152344,109.23958094530477,23.026195596010435,281.6828918457031,cruise,
R000001,571.3276306152344,109.24006590337724,23.027178156899904,281.6828918457031,cruise,
R000001,581.3276306152344,109.24055086144973,23.028160717789373,281.6828918457031,cruise,
R000001,591.3276306152344,109.24103581952222,23.02914327867884,281.6828918457031,cruise,
R000001,601.3276306152344,109.2415207775947,23.03012583956831,281.6828918457031,cruise,
R000001,611.3276306152344,109.24200573566719,23.03110840045778,281.6828918457031,cruise,
R000001,621.3276306152344,109.24249069373968,23.03209096134725,281.6828918457031,cruise,
R000001,631.3276306152344,109.24297565181217,23.03307352223672,281.6828918457031,cruise,
R000001,636.6115551928008,109.2432319,23.0335927,281.6828918457031,descend,S001
R000001,646.6115551928008,109.2432319,23.0335927,256.6828918457031,descend,S001
R000001,656.6115551928008,109.2432319,23.0335927,231.68289184570312,descend,S001
R000001,666.6115551928008,109.2432319,23.0335927,206.68289184570312,descend,S001
R000001,675.684711931082,109.2432319,23.0335927,184.0,handover,S001
R000001,685.684711931082,109.2432319,23.0335927,184.0,handover,S001
