rho,service,objective,total_boxes,N_f,E_total_kWh,T_total_s,A_sorties,B_sorties,C_sorties
10,S001,N-opt,15,2,5.930962831980194,3188.852355034931,0,0,2
10,S001,E-opt,15,2,5.930962831980194,3188.852355034931,0,0,2
10,S001,T-opt,15,2,5.930962831980194,3188.852355034931,0,0,2
10,S002,N-opt,8,2,8.461286379945655,3864.8954297737027,0,1,1
10,S002,E-opt,8,2,8.461286379945655,3864.8954297737027,0,1,1
10,S002,T-opt,8,2,8.461286379945655,3864.8954297737027,0,1,1
10,S003,N-opt,8,2,8.542532276499562,4450.050995654099,0,1,1
10,S003,E-opt,8,2,8.542532276499562,4450.050995654099,0,1,1
10,S003,T-opt,8,2,8.542532276499562,4450.050995654099,0,1,1
10,S004,N-opt,6,1,6.1769107423796425,2305.184064967841,0,0,1
10,S004,E-opt,6,1,6.1769107423796425,2305.184064967841,0,0,1
10,S004,T-opt,6,1,6.1769107423796425,2305.184064967841,0,0,1
10,S005,N-opt,6,1,4.2387743677705485,1880.044640635813,0,0,1
10,S005,E-opt,6,1,4.2387743677705485,1880.044640635813,0,0,1
10,S005,T-opt,6,1,4.2387743677705485,1880.044640635813,0,0,1
10,S006,N-opt,6,1,2.5939758810401803,1560.8632994307266,0,0,1
10,S006,E-opt,6,1,2.5939758810401803,1560.8632994307266,0,0,1
10,S006,T-opt,6,1,2.5939758810401803,1560.8632994307266,0,0,1
10,S007,N-opt,5,1,3.4104434057083766,1907.4812665020695,0,0,1
10,S007,E-opt,5,1,3.4104434057083766,1907.4812665020695,0,0,1
10,S007,T-opt,5,1,3.4104434057083766,1907.4812665020695,0,0,1
10,S008,N-opt,5,1,5.857489201651335,2203.7583959173335,0,0,1
10,S008,E-opt,5,2,5.759471131492537,3871.777236984406,0,2,0
10,S008,T-opt,5,1,5.857489201651335,2203.7583959173335,0,0,1
10,S009,N-opt,3,1,2.1024528395672246,1560.7787366148573,0,1,0
10,S009,E-opt,3,1,2.1024528395672246,1560.7787366148573,0,1,0
10,S009,T-opt,3,1,2.1024528395672246,1560.7787366148573,0,1,0
10,S010,N-opt,3,1,1.8210449428989826,1554.5713591276817,0,1,0
10,S010,E-opt,3,1,1.8210449428989826,1554.5713591276817,0,1,0
10,S010,T-opt,3,1,1.8210449428989826,1554.5713591276817,0,1,0
10,S011,N-opt,3,1,1.077171254529726,1189.630285736439,0,1,0
10,S011,E-opt,3,1,1.077171254529726,1189.630285736439,0,1,0
10,S011,T-opt,3,1,1.077171254529726,1189.630285736439,0,1,0
10,S012,N-opt,3,1,2.7552342804549035,1923.80003809751,0,1,0
10,S012,E-opt,3,1,2.7552342804549035,1923.80003809751,0,1,0
10,S012,T-opt,3,1,2.7552342804549035,1923.80003809751,0,1,0
10,S013,N-opt,3,1,1.824566933772147,1510.4000484846588,0,1,0
10,S013,E-opt,3,1,1.824566933772147,1510.4000484846588,0,1,0
10,S013,T-opt,3,1,1.824566933772147,1510.4000484846588,0,1,0
10,S014,N-opt,3,1,2.137304308171069,1868.5974513534843,0,1,0
10,S014,E-opt,3,1,2.137304308171069,1868.5974513534843,0,1,0
10,S014,T-opt,3,1,2.137304308171069,1868.5974513534843,0,1,0
10,S015,N-opt,3,1,2.3109026130195294,1829.5729924903098,0,1,0
10,S015,E-opt,3,1,2.3109026130195294,1829.5729924903098,0,1,0
10,S015,T-opt,3,1,2.3109026130195294,1829.5729924903098,0,1,0
15,S001,N-opt,15,2,5.930962831980194,3188.852355034931,0,0,2
15,S001,E-opt,15,2,5.930962831980194,3188.852355034931,0,0,2
15,S001,T-opt,15,2,5.930962831980194,3188.852355034931,0,0,2
15,S002,N-opt,8,2,8.461286379945655,3864.8954297737027,0,1,1
15,S002,E-opt,8,2,8.461286379945655,3864.8954297737027,0,1,1
15,S002,T-opt,8,2,8.461286379945655,3864.8954297737027,0,1,1
15,S003,N-opt,8,2,8.542532276499562,4450.050995654099,0,1,1
15,S003,E-opt,8,2,8.542532276499562,4450.050995654099,0,1,1
15,S003,T-opt,8,2,8.542532276499562,4450.050995654099,0,1,1
15,S004,N-opt,6,1,6.1769107423796425,2305.184064967841,0,0,1
15,S004,E-opt,6,1,6.1769107423796425,2305.184064967841,0,0,1
15,S004,T-opt,6,1,6.1769107423796425,2305.184064967841,0,0,1
15,S005,N-opt,6,1,4.2387743677705485,1880.044640635813,0,0,1
15,S005,E-opt,6,1,4.2387743677705485,1880.044640635813,0,0,1
15,S005,T-opt,6,1,4.2387743677705485,1880.044640635813,0,0,1
15,S006,N-opt,6,1,2.5939758810401803,1560.8632994307266,0,0,1
15,S006,E-opt,6,1,2.5939758810401803,1560.8632994307266,0,0,1
15,S006,T-opt,6,1,2.5939758810401803,1560.8632994307266,0,0,1
15,S007,N-opt,5,1,3.4104434057083766,1907.4812665020695,0,0,1
15,S007,E-opt,5,1,3.4104434057083766,1907.4812665020695,0,0,1
15,S007,T-opt,5,1,3.4104434057083766,1907.4812665020695,0,0,1
15,S008,N-opt,5,1,5.857489201651335,2203.7583959173335,0,0,1
15,S008,E-opt,5,2,5.759471131492537,3871.777236984406,0,2,0
15,S008,T-opt,5,1,5.857489201651335,2203.7583959173335,0,0,1
15,S009,N-opt,3,1,2.1024528395672246,1560.7787366148573,0,1,0
15,S009,E-opt,3,1,2.1024528395672246,1560.7787366148573,0,1,0
15,S009,T-opt,3,1,2.1024528395672246,1560.7787366148573,0,1,0
15,S010,N-opt,3,1,1.8210449428989826,1554.5713591276817,0,1,0
15,S010,E-opt,3,1,1.8210449428989826,1554.5713591276817,0,1,0
15,S010,T-opt,3,1,1.8210449428989826,1554.5713591276817,0,1,0
15,S011,N-opt,3,1,1.077171254529726,1189.630285736439,0,1,0
15,S011,E-opt,3,1,1.077171254529726,1189.630285736439,0,1,0
15,S011,T-opt,3,1,1.077171254529726,1189.630285736439,0,1,0
15,S012,N-opt,3,1,2.7552342804549035,1923.80003809751,0,1,0
15,S012,E-opt,3,1,2.7552342804549035,1923.80003809751,0,1,0
15,S012,T-opt,3,1,2.7552342804549035,1923.80003809751,0,1,0
15,S013,N-opt,3,1,1.824566933772147,1510.4000484846588,0,1,0
15,S013,E-opt,3,1,1.824566933772147,1510.4000484846588,0,1,0
15,S013,T-opt,3,1,1.824566933772147,1510.4000484846588,0,1,0
15,S014,N-opt,3,1,2.137304308171069,1868.5974513534843,0,1,0
15,S014,E-opt,3,1,2.137304308171069,1868.5974513534843,0,1,0
15,S014,T-opt,3,1,2.137304308171069,1868.5974513534843,0,1,0
15,S015,N-opt,3,1,2.3109026130195294,1829.5729924903098,0,1,0
15,S015,E-opt,3,1,2.3109026130195294,1829.5729924903098,0,1,0
15,S015,T-opt,3,1,2.3109026130195294,1829.5729924903098,0,1,0
20,S001,N-opt,15,2,5.930962831980194,3188.852355034931,0,0,2
20,S001,E-opt,15,2,5.930962831980194,3188.852355034931,0,0,2
20,S001,T-opt,15,2,5.930962831980194,3188.852355034931,0,0,2
20,S002,N-opt,8,2,8.461286379945655,3864.8954297737027,0,1,1
20,S002,E-opt,8,2,8.461286379945655,3864.8954297737027,0,1,1
20,S002,T-opt,8,2,8.461286379945655,3864.8954297737027,0,1,1
20,S003,N-opt,8,2,8.542532276499562,4450.050995654099,0,1,1
20,S003,E-opt,8,2,8.542532276499562,4450.050995654099,0,1,1
20,S003,T-opt,8,2,8.542532276499562,4450.050995654099,0,1,1
20,S004,N-opt,6,1,6.1769107423796425,2305.184064967841,0,0,1
20,S004,E-opt,6,1,6.1769107423796425,2305.184064967841,0,0,1
20,S004,T-opt,6,1,6.1769107423796425,2305.184064967841,0,0,1
20,S005,N-opt,6,1,4.2387743677705485,1880.044640635813,0,0,1
20,S005,E-opt,6,1,4.2387743677705485,1880.044640635813,0,0,1
20,S005,T-opt,6,1,4.2387743677705485,1880.044640635813,0,0,1
20,S006,N-opt,6,1,2.5939758810401803,1560.8632994307266,0,0,1
20,S006,E-opt,6,1,2.5939758810401803,1560.8632994307266,0,0,1
20,S006,T-opt,6,1,2.5939758810401803,1560.8632994307266,0,0,1
20,S007,N-opt,5,1,3.4104434057083766,1907.4812665020695,0,0,1
20,S007,E-opt,5,1,3.4104434057083766,1907.4812665020695,0,0,1
20,S007,T-opt,5,1,3.4104434057083766,1907.4812665020695,0,0,1
