task_id,uav_id,uav_type,battery_id,start_time_s,end_time_s,duration_s,energy_kWh,charge_start_s,charge_end_s,charge_duration_s,n_stops,n_boxes,visit_order
R000098,U01,A,BAT_A01,0.0,1612.0233919046514,1612.0233919046514,2.0252312019390644,1612.0233919046514,2697.090183575937,1085.0667916712853,1,2,S013
R002453,U02,A,BAT_A02,0.0,2069.992187968592,2069.992187968592,2.287217584613442,2069.992187968592,3230.743934634698,1160.7517466661056,2,3,S010>S013
R071593,U03,A,BAT_A03,0.0,1192.470877312685,1192.470877312685,1.22307515767693,1192.470877312685,2045.803700641576,853.332823328891,1,1,S001
R071594,U03,A,BAT_A05,1193.0,2385.470877312685,1192.470877312685,1.22307515767693,2385.470877312685,3238.803700641576,853.332823328891,1,1,S001
R071595,U04,A,BAT_A04,0.0,1192.470877312685,1192.470877312685,1.22307515767693,1192.470877312685,2045.803700641576,853.332823328891,1,1,S001
R000203,U05,B,BAT_B01,0.0,1576.1902081524602,1576.1902081524602,1.878779072601222,1576.1902081524602,3056.994472946323,1480.8042647938628,1,2,S007
R004168,U05,B,BAT_B03,1577.0,3816.683316742361,2239.683316742361,2.528235963411383,3816.683316742361,5578.918900887294,1762.2355841449325,2,3,S007>S003
R000269,U05,B,BAT_B02,3817.0,5646.57299249031,1829.5729924903096,2.3109026130195294,5646.57299249031,7314.630791465439,1668.0577989751296,1,3,S015
R000228,U05,B,BAT_B03,5647.0,7081.571359127682,1434.5713591276815,1.5138320113468402,7081.571359127682,8404.23189737798,1322.6605382502976,1,1,S010
R000223,U05,B,BAT_B01,7082.0,8582.778736614857,1500.7787366148573,2.00615948145015,8582.778736614857,10118.781178576588,1536.0024419617316,1,2,S009
R000248,U06,B,BAT_B02,0.0,1923.80003809751,1923.80003809751,2.7552342804549035,1923.80003809751,3784.4015596279683,1860.6015215304583,1,3,S012
R000262,U06,B,BAT_B04,1924.0,3792.5974513534843,1868.5974513534843,2.137304308171069,3792.5974513534843,5385.429318227614,1592.83186687413,1,3,S014
R000199,U06,B,BAT_B01,3794.0,5370.19020815246,1576.1902081524602,1.5529827173571036,5370.19020815246,6709.816052340539,1339.6258441880782,1,2,S007
R003841,U06,B,BAT_B04,5386.0,7417.652763374452,2031.652763374452,2.506530618927054,7417.652763374452,9170.482698242842,1752.8299348683902,2,3,S009>S002
R000241,U06,B,BAT_B02,7418.0,8607.630285736439,1189.630285736439,1.077171254529726,8607.630285736439,9741.07116269932,1133.4408769628812,1,3,S011
R000575,U07,C,BAT_C01,0.0,2305.184064967841,2305.184064967841,6.1769107423796425,2305.184064967841,4811.430724362328,2506.2466593944864,1,6,S004
R000438,U07,C,BAT_C04,2306.0,3867.4261775174655,1561.4261775174657,2.92626894731049,3867.4261775174655,5493.290684080723,1625.8645065632577,1,7,S001
R000683,U07,C,BAT_C01,4812.0,7015.7583959173335,2203.758395917333,5.857489201651335,7015.7583959173335,9435.495054697903,2419.73665878057,1,5,S008
R000280,U07,C,BAT_C03,7016.0,8445.426177517465,1429.4261775174657,2.1499433145188216,8445.426177517465,9861.035825199646,1415.609647682181,1,5,S001
R000637,U08,C,BAT_C02,122.0,1682.8632994307263,1560.8632994307263,2.5939758810401803,1682.8632994307263,3218.731767212442,1535.8684677817155,1,6,S006
R000490,U08,C,BAT_C03,1683.0,3794.00675724525,2111.00675724525,6.181413550070367,3794.00675724525,6301.472927055975,2507.4661698107243,1,6,S002
R000543,U08,C,BAT_C02,3795.0,6230.809520857649,2435.8095208576483,6.203815391673846,6230.809520857649,8744.342856102649,2513.5333352449998,1,6,S003
R000606,U08,C,BAT_C04,6256.0,8136.044640635813,1880.0446406358128,4.2387743677705485,8136.044640635813,10117.379365240336,1981.3347246045237,1,6,S005
