candidate_id,dem_row,dem_col,lon,lat,ground_height,agl_height,absolute_height,relay_g01_margin_db,horizontal_distance_to_O01_m
RP004109,446,830,109.26347222222222,23.100694444444446,644.1536254882812,20.0,664.1536254882812,5.283314343780319,10780.514139115316
RP004447,450,830,109.26347222222222,23.09958333333333,568.5731201171875,60.0,628.5731201171875,5.379563493255517,10663.107111333156
RP004639,454,770,109.24680555555555,23.098472222222224,542.4429321289062,100.0,642.4429321289062,5.818364184578357,10135.788766093234
RP004650,454,774,109.24791666666668,23.098472222222224,553.0440673828125,80.0,633.0440673828125,5.802584193453328,10154.72934606483
RP006946,538,702,109.22791666666669,23.07513888888889,324.1842956542969,140.0,464.1842956542969,8.535724281732968,7414.937443483889
RP007504,554,694,109.22569444444444,23.070694444444445,304.435302734375,140.0,444.435302734375,9.117203868612975,6934.767794616386
RP007946,562,698,109.22680555555556,23.068472222222223,286.0696105957031,120.0,406.0696105957031,9.44324378891308,6680.398500101551
RP008052,562,882,109.27791666666668,23.068472222222223,405.6948547363281,140.0,545.6948547363281,7.632946062258455,8225.58383438367
RP008211,566,710,109.23013888888887,23.06736111111111,316.5287780761719,160.0,476.5287780761719,9.617418530760489,6544.407238530293
RP008329,566,894,109.28125,23.06736111111111,490.89111328125,100.0,590.89111328125,7.518688047741577,8332.535031304718
RP008432,570,690,109.22458333333331,23.06625,289.0489807128906,160.0,449.0489807128906,9.741871837493576,6452.424925775282
RP008467,570,710,109.23013888888887,23.06625,297.67138671875,160.0,457.67138671875,9.783794811272742,6420.865144933212
RP008671,574,690,109.22458333333331,23.06513888888889,298.23846435546875,160.0,458.2384643554688,9.907965630682211,6329.499166061746
RP008693,574,702,109.22791666666669,23.06513888888889,261.76287841796875,140.0,401.7628784179688,9.946321654972678,6304.062007512363
RP009177,578,746,109.2401388888889,23.064027777777778,302.9848327636719,160.0,462.9848327636719,0.0225850959470363,6246.100904857549
RP009191,578,750,109.24125,23.064027777777778,280.8110656738281,180.0,460.8110656738281,9.997379406208497,6264.415435889854
RP009711,582,754,109.24236111111112,23.062916666666663,290.2767639160156,180.0,470.2767639160156,0.1375267516287834,6163.417930273957
RP010309,586,750,109.24125,23.061805555555555,317.8519287109375,240.0,557.8519287109375,0.3322722472784249,6021.053987287788
RP010337,586,758,109.24347222222222,23.061805555555555,281.1086120605469,200.0,481.1086120605469,0.275577846142383,6065.388245442488
RP010853,590,722,109.23347222222222,23.060694444444444,289.1378173828125,20.0,309.1378173828125,0.6605533624801723,5808.896208668425
RP010856,590,722,109.23347222222222,23.060694444444444,289.1378173828125,80.0,369.1378173828125,0.6575999545788846,5808.896208668425
RP010857,590,722,109.23347222222222,23.060694444444444,289.1378173828125,100.0,389.1378173828125,0.6564103527449845,5808.896208668425
RP010858,590,722,109.23347222222222,23.060694444444444,289.1378173828125,120.0,409.1378173828125,0.655118319120291,5808.896208668425
RP010870,590,726,109.23458333333332,23.060694444444444,301.6340026855469,60.0,361.6340026855469,0.6485310221595171,5815.256611846579
RP010871,590,726,109.23458333333332,23.060694444444444,301.6340026855469,80.0,381.6340026855469,0.6473823859624588,5815.256611846579
RP010876,590,726,109.23458333333332,23.060694444444444,301.6340026855469,180.0,481.6340026855469,0.6401074590139331,5815.256611846579
RP010885,590,730,109.23569444444443,23.060694444444444,313.6457214355469,60.0,373.6457214355469,0.6350798553337995,5823.831105927655
RP010890,590,730,109.23569444444443,23.060694444444444,313.6457214355469,160.0,473.6457214355469,0.628029421013494,5823.831105927655
RP010899,590,734,109.23680555555556,23.060694444444444,335.6278381347656,40.0,375.6278381347656,0.6189344033086144,5834.609929491252
RP010943,590,746,109.2401388888889,23.060694444444444,352.0519714355469,20.0,372.0519714355469,0.5518974247906385,5880.038759002403
RP011030,590,766,109.24569444444444,23.060694444444444,280.6294860839844,260.0,540.6294860839844,0.3667797557889543,5998.260323474064
RP011689,594,746,109.2401388888889,23.05958333333333,360.9792175292969,240.0,600.9792175292969,0.7133333125061938,5758.148478580541
RP011796,594,774,109.24791666666668,23.05958333333333,252.81431579589844,280.0,532.8143157958984,0.4495556994114622,5941.658722436589
RP012422,598,734,109.23680555555556,23.05847222222222,321.4071655273437,300.0,621.4071655273438,0.9681466710693768,5588.921039168062
RP012466,598,746,109.2401388888889,23.05847222222222,344.43994140625,280.0,624.43994140625,0.8949313077314827,5636.330469384138
RP012557,598,770,109.24680555555555,23.05847222222222,296.9657592773437,300.0,596.9657592773438,0.6653808762807643,5790.590768796129
RP012754,602,598,109.19902777777776,23.057361111111117,687.7489013671875,80.0,767.7489013671875,9.871567482848164,6333.734192769749
RP012766,602,602,109.20013888888889,23.057361111111117,650.634521484375,120.0,770.634521484375,9.949916145283126,6276.0105502570495
RP012769,602,602,109.20013888888889,23.057361111111117,650.634521484375,180.0,830.634521484375,9.94136898480646,6276.0105502570495
RP013418,602,774,109.24791666666668,23.057361111111117,313.6357116699219,260.0,573.6357116699219,0.7952473487414693,5705.938315131707
RP013653,606,598,109.19902777777776,23.05625,649.4330444335938,240.0,889.4330444335938,9.997916709724024,6228.097174324486
RP014524,606,842,109.26680555555556,23.05625,312.2228698730469,180.0,492.2228698730469,9.730343826646262,6459.212198217715
RP015140,610,750,109.24125,23.05513888888889,304.24713134765625,20.0,324.24713134765625,1.4668894403770167,5293.0484755355465
RP015474,610,842,109.26680555555556,23.05513888888889,294.5377197265625,180.0,474.5377197265625,9.868320204995712,6358.062360066332
RP015500,614,582,109.19458333333334,23.05402777777778,668.9635009765625,300.0,968.9635009765624,9.917930015550112,6276.700134323434
RP016429,614,830,109.26347222222222,23.05402777777778,296.03521728515625,280.0,576.0352172851562,0.2703046225334731,6063.378498782913
RP016431,614,834,109.26458333333332,23.05402777777778,309.8257751464844,20.0,329.8257751464844,0.1978263097877857,6126.732232887546
RP016472,614,842,109.26680555555556,23.05402777777778,330.0976867675781,240.0,570.0976867675781,9.998218853700124,6257.716907315295
RP016476,614,846,109.26791666666666,23.05402777777778,281.9239501953125,200.0,481.9239501953125,9.912625739794322,6325.259275057923
RP016611,618,610,109.20236111111112,23.05291666666667,596.994140625,20.0,616.994140625,0.7471309263895876,5734.574085587267
RP017092,618,738,109.23791666666666,23.05291666666667,294.66015625,40.0,334.66015625,1.9768066129065005,4990.515145317756
RP017706,622,618,109.20458333333332,23.05180555555556,552.280029296875,40.0,592.280029296875,1.088406650450537,5514.141485862828
RP018590,622,854,109.2701388888889,23.05180555555556,311.90997314453125,220.0,531.9099731445312,9.981078801058146,6272.637659382231
RP018595,622,858,109.27125,23.05180555555556,373.5174560546875,200.0,573.5174560546875,9.876665772439438,6346.137579748912
RP018810,626,622,109.20569444444445,23.05069444444445,504.2957458496094,20.0,524.2957458496094,1.35598368881368,5350.967416380708
RP019707,626,858,109.27125,23.05069444444445,372.2720947265625,260.0,632.2720947265625,9.998693017410716,6252.928401386669
RP020326,630,726,109.23458333333332,23.04958333333333,273.4512634277344,80.0,353.4512634277344,2.7137716416375213,4583.143333358219
RP020355,630,734,109.23680555555556,23.04958333333333,323.6654968261719,60.0,383.6654968261719,2.6647870508587914,4607.674726127966
RP021078,634,618,109.20458333333332,23.048472222222223,524.6577758789062,40.0,564.6577758789062,1.608715158803406,5193.678663103131
RP021079,634,618,109.20458333333332,23.048472222222223,524.6577758789062,60.0,584.6577758789062,1.6059837503333654,5193.678663103131
RP023493,642,618,109.20458333333332,23.04625,494.290771484375,80.0,574.290771484375,1.9630302500578125,4983.9045970146935
RP024732,646,610,109.20236111111112,23.04513888888889,575.3161010742188,20.0,595.3161010742188,1.916225268878165,5009.22230805661
RP024749,646,614,109.20347222222222,23.04513888888889,546.6256103515625,60.0,606.6256103515625,2.0275174012303125,4943.887408145932
RP024766,646,618,109.20458333333332,23.04513888888889,497.8734130859375,100.0,597.8734130859375,2.140353412579458,4880.328090150244
RP025495,646,810,109.25791666666667,23.04513888888889,302.3026428222656,280.0,582.3026428222656,2.06308511217668,4925.713123327516
RP025567,646,830,109.26347222222222,23.04513888888889,252.0697479248047,220.0,472.0697479248047,1.4993467903401836,5266.509288919281
RP026075,650,618,109.20458333333332,23.044027777777774,486.369873046875,120.0,606.369873046875,2.321911293443065,4777.7011906977405
RP026925,650,846,109.26791666666666,23.044027777777774,328.95050048828125,20.0,348.95050048828125,1.1707997819938356,5476.248037439639
RP027416,654,622,109.20569444444445,23.042916666666667,447.29241943359375,160.0,607.2924194335938,2.6260870156687304,4611.640574208625
RP027437,654,626,109.20680555555556,23.042916666666667,427.6583862304688,280.0,707.6583862304688,2.722228592304532,4549.125006985113
RP028125,654,810,109.25791666666667,23.042916666666667,249.4993133544922,240.0,489.4993133544922,2.438314931174716,4723.434316068214
RP028268,654,850,109.26902777777778,23.042916666666667,319.7579040527344,100.0,419.7579040527344,1.1782531556210358,5468.4913026515
RP028728,658,614,109.20347222222222,23.041805555555555,527.8403930664062,60.0,587.8403930664062,2.570808334425152,4643.284333188991
RP029443,658,802,109.25569444444444,23.041805555555555,255.1063232421875,260.0,515.1063232421875,2.869579567425632,4491.3676394125405
RP029444,658,802,109.25569444444444,23.041805555555555,255.1063232421875,280.0,535.1063232421875,2.86635202077872,4491.3676394125405
RP029626,658,854,109.2701388888889,23.041805555555555,335.1092834472656,20.0,355.1092834472656,1.1868963369805812,5465.884726346746
RP029631,658,854,109.2701388888889,23.041805555555555,335.1092834472656,120.0,455.1092834472656,1.1794288031370286,5465.884726346746
RP029658,658,862,109.27236111111112,23.041805555555555,380.2810668945313,60.0,440.2810668945313,0.9163356343419052,5635.309998777965
RP029773,658,890,109.28013888888889,23.041805555555555,300.80877685546875,260.0,560.8087768554688,9.99978119425451,6257.343387242304
RP030099,662,614,109.20347222222222,23.040694444444444,516.1152954101562,80.0,596.1152954101562,2.7526934296239887,4545.382634397528
RP030155,662,626,109.20680555555556,23.040694444444444,439.7799682617188,300.0,739.7799682617188,3.109608569380555,4343.367006476213
RP030785,662,794,109.25347222222224,23.040694444444444,236.72561645507807,300.0,536.7256164550781,3.316998011638788,4262.384770530325
RP031146,662,894,109.28125,23.040694444444444,343.11871337890625,180.0,523.1187133789062,9.974352749268904,6278.138581390296
RP031488,666,614,109.20347222222222,23.039583333333333,508.1492919921875,100.0,608.1492919921875,2.9351168008967363,4448.757843718471
RP032433,666,866,109.27347222222222,23.039583333333333,370.007568359375,100.0,470.007568359375,1.0228123969840368,5564.825665836487
RP032556,666,910,109.28569444444445,23.039583333333333,337.3309020996094,280.0,617.3309020996094,9.54504069875766,6591.33313952796
RP033801,670,858,109.27125,23.03847222222222,319.7086181640625,200.0,519.7086181640625,1.4231873600621157,5310.009792251222
RP033960,670,910,109.28569444444445,23.03847222222222,338.1376953125,300.0,638.1376953125,9.627212223867105,6527.414861943683
RP034314,674,618,109.20458333333332,23.03736111111111,433.0228576660156,180.0,613.0228576660156,3.457346038475848,4185.74957770045
RP035228,674,862,109.27236111111112,23.03736111111111,299.15838623046875,160.0,459.1583862304688,1.407289506662366,5323.678178442273
RP035242,674,866,109.27347222222222,23.03736111111111,298.0740051269531,140.0,438.0740051269531,1.2621534562497772,5414.864569242682
RP037181,682,618,109.20458333333332,23.035138888888888,417.1101989746094,220.0,637.1101989746094,3.841470258862088,3999.5111949069055
