state_id,candidate_id,access_margin_db,relay_g01_margin_db,two_hop_margin_db
OS006196,RP002682,1.8364447193068543,7.925834269539763,1.8364447193068543
OS006197,RP002682,2.181823992856039,7.925834269539763,2.181823992856039
BS000238,RP002682,1.446621097031695,7.925834269539763,1.446621097031695
BS000239,RP002682,2.4684317766037367,7.925834269539763,2.4684317766037367
OS000354,RP003070,0.7483457428384952,8.96249387360254,0.7483457428384952
OS000355,RP003070,1.3292840762117777,8.96249387360254,1.3292840762117777
OS000356,RP003070,1.9499801271666115,8.96249387360254,1.9499801271666115
OS000357,RP003070,2.6159247196733446,8.96249387360254,2.6159247196733446
OS000358,RP003070,3.333718075786109,8.96249387360254,3.333718075786109
OS000359,RP003070,4.111333728093939,8.96249387360254,4.111333728093939
OS000360,RP003070,4.958422199945758,8.96249387360254,4.958422199945758
OS000361,RP003070,5.886606841873146,8.96249387360254,5.886606841873146
OS000362,RP003070,6.909612950466723,8.96249387360254,6.909612950466723
OS000363,RP003070,8.042763330844977,8.96249387360254,8.042763330844977
OS000364,RP003070,9.300524330061364,8.96249387360254,8.96249387360254
OS000365,RP003070,10.688478871961905,8.96249387360254,8.96249387360254
OS000366,RP003070,12.18033872489707,8.96249387360254,8.96249387360254
OS000367,RP003070,13.66087592427607,8.96249387360254,8.96249387360254
OS000368,RP003070,14.830189030101863,8.96249387360254,8.96249387360254
OS000369,RP003070,15.221754149745223,8.96249387360254,8.96249387360254
OS000370,RP003070,14.616946094303998,8.96249387360254,8.96249387360254
OS000371,RP003070,13.339145035906114,8.96249387360254,8.96249387360254
OS000372,RP003070,11.837977328123372,8.96249387360254,8.96249387360254
OS000373,RP003070,10.36403202839395,8.96249387360254,8.96249387360254
OS000374,RP003070,9.00491664902323,8.96249387360254,8.96249387360254
OS000375,RP003070,8.713032721268334,8.96249387360254,8.713032721268334
OS000376,RP003070,8.659428047432343,8.96249387360254,8.659428047432343
OS000377,RP003070,8.596470870516143,8.96249387360254,8.596470870516143
OS000378,RP003070,8.52457171594979,8.96249387360254,8.52457171594979
OS000379,RP003070,8.444182610956972,8.96249387360254,8.444182610956972
OS000380,RP003070,8.355788475792792,8.96249387360254,8.355788475792792
OS000381,RP003070,8.259898524948454,8.96249387360254,8.259898524948454
OS000382,RP003070,8.157037948550425,8.96249387360254,8.157037948550425
OS001107,RP003070,8.133621840897618,8.96249387360254,8.133621840897618
OS001108,RP003070,8.257996538769788,8.96249387360254,8.257996538769788
OS001109,RP003070,8.372348557047232,8.96249387360254,8.372348557047232
OS001110,RP003070,8.475772832953254,8.96249387360254,8.475772832953254
OS001111,RP003070,8.567400557364522,8.96249387360254,8.567400557364522
OS001112,RP003070,8.646420077280865,8.96249387360254,8.646420077280865
OS001113,RP003070,8.691600695429017,8.96249387360254,8.691600695429017
OS001114,RP003070,10.152582787488157,8.96249387360254,8.96249387360254
OS001115,RP003070,11.85333339765134,8.96249387360254,8.96249387360254
OS001116,RP003070,13.840151875043702,8.96249387360254,8.96249387360254
OS001117,RP003070,16.0785302660384,8.96249387360254,8.96249387360254
OS001118,RP003070,18.136300133273622,8.96249387360254,8.96249387360254
OS001119,RP003070,18.73711598403625,8.96249387360254,8.96249387360254
OS001120,RP003070,17.277986476783852,8.96249387360254,8.96249387360254
OS001121,RP003070,15.033299251227731,8.96249387360254,8.96249387360254
OS001122,RP003070,12.892730126680476,8.96249387360254,8.96249387360254
OS001123,RP003070,11.04091681499753,8.96249387360254,8.96249387360254
OS001124,RP003070,9.456591154176337,8.96249387360254,8.96249387360254
OS001125,RP003070,8.088424425285439,8.96249387360254,8.088424425285439
OS001126,RP003070,6.891236796845931,8.96249387360254,6.891236796845931
OS001127,RP003070,5.830227632717907,8.96249387360254,5.830227632717907
OS001128,RP003070,4.879245407323808,8.96249387360254,4.879245407323808
OS001129,RP003070,4.018551558311202,8.96249387360254,4.018551558311202
OS001130,RP003070,3.2330479026306875,8.96249387360254,3.2330479026306875
OS001131,RP003070,2.511003332211118,8.96249387360254,2.511003332211118
OS001132,RP003070,1.843159514469491,8.96249387360254,1.843159514469491
OS001133,RP003070,1.2221016098793172,8.96249387360254,1.2221016098793172
OS001134,RP003070,0.6418106197596103,8.96249387360254,0.6418106197596103
OS001397,RP003070,1.5038306017169702,8.96249387360254,1.5038306017169702
OS001398,RP003070,2.148985457039956,8.96249387360254,2.148985457039956
OS001399,RP003070,2.8452954119494507,8.96249387360254,2.8452954119494507
OS001400,RP003070,3.6014439484344933,8.96249387360254,3.6014439484344933
OS001401,RP003070,4.428485399476386,8.96249387360254,4.428485399476386
OS001402,RP003070,5.340769939769558,8.96249387360254,5.340769939769558
OS001403,RP003070,6.357349014065605,8.96249387360254,6.357349014065605
OS001404,RP003070,7.504173142570551,8.96249387360254,7.504173142570551
OS001405,RP003070,8.817621954888168,8.96249387360254,8.817621954888168
OS001406,RP003070,10.350252993286261,8.96249387360254,8.96249387360254
OS001407,RP003070,12.179802089180214,8.96249387360254,8.96249387360254
OS001408,RP003070,14.41926904894703,8.96249387360254,8.96249387360254
OS001409,RP003070,17.193666699653306,8.96249387360254,8.96249387360254
OS001410,RP003070,20.295202849735574,8.96249387360254,8.96249387360254
OS001411,RP003070,21.593687344948947,8.96249387360254,8.96249387360254
OS001412,RP003070,19.266872588869077,8.96249387360254,8.96249387360254
OS001413,RP003070,16.184422294613597,8.96249387360254,8.96249387360254
OS001414,RP003070,13.601638503066539,8.96249387360254,8.96249387360254
OS001415,RP003070,11.516834847335844,8.96249387360254,8.96249387360254
OS001416,RP003070,9.799239106043913,8.96249387360254,8.96249387360254
OS001417,RP003070,8.615093677765728,8.96249387360254,8.615093677765728
OS001418,RP003070,8.545664545968918,8.96249387360254,8.545664545968918
OS001419,RP003070,8.467614676938368,8.96249387360254,8.467614676938368
OS001420,RP003070,8.381420617661306,8.96249387360254,8.381420617661306
OS001421,RP003070,8.287585609507985,8.96249387360254,8.287585609507985
OS001422,RP003070,8.186631166062838,8.96249387360254,8.186631166062838
OS004243,RP003070,0.756509320784815,8.96249387360254,0.756509320784815
OS004244,RP003070,1.4979963556299936,8.96249387360254,1.4979963556299936
OS004245,RP003070,2.307294604683136,8.96249387360254,2.307294604683136
OS004246,RP003070,3.1976979532293512,8.96249387360254,3.1976979532293512
OS004247,RP003070,4.186674178986323,8.96249387360254,4.186674178986323
OS004248,RP003070,5.297702279971844,8.96249387360254,5.297702279971844
OS004249,RP003070,6.563119959828924,8.96249387360254,6.563119959828924
OS004250,RP003070,8.028513644993225,8.96249387360254,8.028513644993225
OS004251,RP003070,9.75892675510049,8.96249387360254,8.96249387360254
OS004252,RP003070,11.843623396663546,8.96249387360254,8.96249387360254
OS004253,RP003070,14.370458736523844,8.96249387360254,8.96249387360254
