type,service,strategy,N_f,E_kWh,T_s
C,S003,Pareto-E↓,2,41.356643804828956,17164.800190298687
C,S003,Pareto-T↓,2,41.356643804828956,17164.800190298687
C,S004,Pareto-N↓,1,6.119363799617691,2188.2416882588564
C,S004,Pareto-E↓,1,6.119363799617691,2188.2416882588564
C,S004,Pareto-T↓,1,6.119363799617691,2188.2416882588564
C,S005,Pareto-N↓,1,4.168924263280374,1723.9815699571022
C,S005,Pareto-E↓,1,4.168924263280374,1723.9815699571022
C,S005,Pareto-T↓,1,4.168924263280374,1723.9815699571022
C,S006,Pareto-N↓,1,2.5631494790859533,1487.1161986006484
C,S006,Pareto-E↓,1,2.5631494790859533,1487.1161986006484
C,S006,Pareto-T↓,1,2.5631494790859533,1487.1161986006484
C,S007,Pareto-N↓,1,3.382114976092084,1896.7154889141789
C,S007,Pareto-E↓,1,3.382114976092084,1896.7154889141789
C,S007,Pareto-T↓,1,3.382114976092084,1896.7154889141789
C,S008,Pareto-N↓,1,5.825076922464769,2136.7274297308095
C,S008,Pareto-E↓,1,5.825076922464769,2136.7274297308095
C,S008,Pareto-T↓,1,5.825076922464769,2136.7274297308095
C,S009,Pareto-N↓,1,3.810224451486021,1733.5499534524224
C,S009,Pareto-E↓,1,3.810224451486021,1733.5499534524224
C,S009,Pareto-T↓,1,3.810224451486021,1733.5499534524224
C,S010,Pareto-N↓,1,3.2091793124866874,1631.0521696745568
C,S010,Pareto-E↓,1,3.2091793124866874,1631.0521696745568
C,S010,Pareto-T↓,1,3.2091793124866874,1631.0521696745568
C,S011,Pareto-N↓,1,1.8815368720890604,1209.5152293806445
C,S011,Pareto-E↓,1,1.8815368720890604,1209.5152293806445
C,S011,Pareto-T↓,1,1.8815368720890604,1209.5152293806445
C,S012,Pareto-N↓,1,4.921662158965991,2034.4595433058435
C,S012,Pareto-E↓,1,4.921662158965991,2034.4595433058435
C,S012,Pareto-T↓,1,4.921662158965991,2034.4595433058435
C,S013,Pareto-N↓,1,3.245148464638979,1608.0038051985257
C,S013,Pareto-E↓,1,3.245148464638979,1608.0038051985257
C,S013,Pareto-T↓,1,3.245148464638979,1608.0038051985257
C,S014,Pareto-N↓,1,3.608170022644364,1680.085410134409
C,S014,Pareto-E↓,1,3.608170022644364,1680.085410134409
C,S014,Pareto-T↓,1,3.608170022644364,1680.085410134409
C,S015,Pareto-N↓,1,4.065401280617948,1930.4633560563907
C,S015,Pareto-E↓,1,4.065401280617948,1930.4633560563907
C,S015,Pareto-T↓,1,4.065401280617948,1930.4633560563907
