candidate_id,lon,lat,ground_height_m,agl_height_m,hover_absolute_height_m,horizontal_distance_m,max_dem_height_m,cruise_height_m,outbound_climb_m,outbound_descent_m,return_climb_m,return_descent_m,outbound_time_s,return_time_s,outbound_energy_kWh,return_energy_kWh,roundtrip_flight_energy_kWh,lead_time_s
RP004109,109.26347222222222,23.100694444444446,644.1536254882812,20.0,664.1536254882812,10780.514139115316,645.0339965820312,695.0339965820312,567.3339965820312,30.88037109375,30.88037109375,567.3339965820312,870.8278987844456,915.5323675751356,0.2800270293257419,0.23233061565279656,0.5123576449785385,1080.8278987844456
RP004447,109.26347222222222,23.09958333333333,568.5731201171875,60.0,628.5731201171875,10663.107111333156,568.5731201171875,628.5731201171875,500.8731201171875,0.0,0.0,500.8731201171875,836.0920874515074,877.8315141279396,0.27161761807693857,0.22708468848209498,0.4987023065590336,1046.0920874515073
RP004639,109.24680555555555,23.098472222222224,542.4429321289062,100.0,642.4429321289062,10135.788766093234,555.5964965820312,642.4429321289062,514.7429321289062,0.0,0.0,514.7429321289062,804.4049841051087,847.3002284491843,0.26162086366101545,0.21585476075939292,0.47747562442040836,1014.4049841051087
RP004650,109.24791666666668,23.098472222222224,553.0440673828125,80.0,633.0440673828125,10154.72934606483,557.6793823242188,633.0440673828125,505.3440673828125,0.0,0.0,505.3440673828125,803.3179732500253,845.4299788652596,0.26118856916094546,0.21625812496249175,0.4774466941234372,1013.3179732500253
RP006946,109.22791666666669,23.07513888888889,324.1842956542969,140.0,464.1842956542969,7414.937443483889,313.05755615234375,464.1842956542969,336.4842956542969,0.0,0.0,336.4842956542969,578.4502368125002,606.4905947836916,0.18782772540617232,0.1579107048149347,0.345738430221107,788.4502368125002
RP007504,109.22569444444444,23.070694444444445,304.435302734375,140.0,444.435302734375,6934.767794616386,304.435302734375,444.435302734375,316.735302734375,0.0,0.0,316.735302734375,541.5016786580195,567.8962872192174,0.1758459954830192,0.14768486970016376,0.32353086518318297,751.5016786580195
RP007946,109.22680555555556,23.068472222222223,286.0696105957031,120.0,406.0696105957031,6680.398500101551,286.0696105957031,406.0696105957031,278.36961059570314,0.0,0.0,278.36961059570314,514.9523026556958,538.1497702053377,0.16701775491384716,0.14226774583549598,0.30928550074934313,724.9523026556958
RP008052,109.27791666666668,23.068472222222223,405.6948547363281,140.0,545.6948547363281,8225.58383438367,410.1292724609375,545.6948547363281,417.99485473632814,0.0,0.0,417.99485473632814,652.87096930966,687.7038738710207,0.2123386438463267,0.17517447054705962,0.3875131143933863,862.87096930966
RP008211,109.23013888888887,23.06736111111111,316.5287780761719,160.0,476.5287780761719,6544.407238530293,317.65191650390625,476.5287780761719,348.8287780761719,0.0,0.0,348.8287780761719,523.5010104210626,552.5700752607436,0.1703862115644708,0.13937163563536734,0.3097578471998381,733.5010104210626
RP008329,109.28125,23.06736111111111,490.89111328125,100.0,590.89111328125,8332.535031304718,490.89111328125,590.89111328125,463.19111328125,0.0,0.0,463.19111328125,671.3001137406271,709.8993731807312,0.21863473468669767,0.1774521349259338,0.3960868696126315,881.3001137406271
RP008432,109.22458333333331,23.06625,289.0489807128906,160.0,449.0489807128906,6452.424925775282,298.46734619140625,449.0489807128906,321.34898071289064,0.0,0.0,321.34898071289064,510.49890689657474,537.277988622649,0.1659840837086941,0.13741275304891803,0.30339683675761214,720.4989068965747
RP008467,109.23013888888887,23.06625,297.67138671875,160.0,457.67138671875,6420.865144933212,287.4893493652344,457.67138671875,329.97138671875,0.0,0.0,329.97138671875,510.5505230085683,538.0481385684641,0.16607860055559448,0.13674064660505914,0.3028192471606536,720.5505230085682
RP008671,109.22458333333331,23.06513888888889,298.23846435546875,160.0,458.23846435546875,6329.499166061746,293.851806640625,458.23846435546875,330.53846435546876,0.0,0.0,330.53846435546876,504.60122715965025,532.1460991892727,0.16418326281103007,0.13479488964761124,0.29897815245864134,714.6012271596503
RP008693,109.22791666666669,23.06513888888889,261.76287841796875,140.0,401.76287841796875,6304.062007512363,276.410888671875,401.76287841796875,274.06287841796876,0.0,0.0,274.06287841796876,488.7865201053164,511.6250933068138,0.15862026731892953,0.1342531723822077,0.2928734397011372,698.7865201053164
RP009177,109.2401388888889,23.064027777777778,302.9848327636719,160.0,462.9848327636719,6246.100904857549,302.9848327636719,462.9848327636719,335.2848327636719,0.0,0.0,335.2848327636719,500.22793518142123,528.1683379117272,0.16282919119245776,0.13301881556641076,0.2958480067588685,710.2279351814212
RP009191,109.24125,23.064027777777778,280.8110656738281,180.0,460.8110656738281,6264.415435889854,358.7777404785156,460.8110656738281,333.11106567382814,0.0,0.0,333.11106567382814,500.9054621444473,528.6647176172663,0.16302595193579889,0.13340884724580243,0.2964347991816013,710.9054621444473
RP009711,109.24236111111112,23.062916666666663,290.2767639160156,180.0,470.2767639160156,6163.417930273957,346.2403564453125,470.2767639160156,342.57676391601564,0.0,0.0,342.57676391601564,496.53871966393433,525.0867833236023,0.16171668004041734,0.13125797444101944,0.2929746544814368,706.5387196639343
RP010309,109.24125,23.061805555555555,317.8519287109375,240.0,557.8519287109375,6021.053987287788,357.6805114746094,557.8519287109375,430.1519287109375,0.0,0.0,430.1519287109375,508.94158133025354,544.7875753894983,0.1664712157689329,0.12822614972927696,0.29469736549820985,718.9415813302535
RP010337,109.24347222222222,23.061805555555555,281.1086120605469,200.0,481.1086120605469,6065.388245442488,281.1086120605469,481.1086120605469,353.4086120605469,0.0,0.0,353.4086120605469,492.7113693779693,522.1620870496815,0.16059207694321723,0.12917030522701595,0.2897623821702332,702.7113693779693
RP010853,109.23347222222222,23.060694444444444,289.1378173828125,20.0,309.1378173828125,5808.896208668425,289.1378173828125,339.1378173828125,211.4378173828125,30.0,30.0,211.4378173828125,450.11920159026477,465.2390197054992,0.1425070380041166,0.12637529281192014,0.26888233081603674,660.1192015902648
RP010856,109.23347222222222,23.060694444444444,289.1378173828125,80.0,369.1378173828125,5808.896208668425,289.1378173828125,369.1378173828125,241.4378173828125,0.0,0.0,241.4378173828125,447.61920159026477,467.7390197054992,0.14517435600180179,0.12370797481423496,0.26888233081603674,657.6192015902648
RP010857,109.23347222222222,23.060694444444444,289.1378173828125,100.0,389.1378173828125,5808.896208668425,289.1378173828125,389.1378173828125,261.4378173828125,0.0,0.0,261.4378173828125,452.61920159026477,474.4056863721658,0.14695256800025858,0.12370797481423496,0.27066054281449353,662.6192015902648
RP010858,109.23347222222222,23.060694444444444,289.1378173828125,120.0,409.1378173828125,5808.896208668425,289.1378173828125,409.1378173828125,281.4378173828125,0.0,0.0,281.4378173828125,457.61920159026477,481.0723530388325,0.14873077999871537,0.12370797481423496,0.2724387548129503,667.6192015902648
RP010870,109.23458333333332,23.060694444444444,301.6340026855469,60.0,361.6340026855469,5815.256611846579,320.4415283203125,370.4415283203125,242.7415283203125,8.807525634765625,8.807525634765625,242.7415283203125,451.3049980814386,470.79949830523424,0.14542572275402676,0.12462651023290365,0.27005223298693043,661.3049980814386
