state_id,x,y,z,phase,node,direct,state_kind
BS000294,109.228920334,23.056114919,363.563202,cruise,,1,boundary
BS000295,109.256511552,23.039733877,374.444458,cruise,,1,boundary
BS000296,109.255272189,23.04045435,374.444458,cruise,,1,boundary
BS000297,109.244117928,23.046938608,374.444458,cruise,,1,boundary
BS000298,109.241639204,23.048379554,374.444458,cruise,,1,boundary
BS000299,109.240399841,23.049100027,374.444458,cruise,,1,boundary
BS000300,109.237921116,23.050540973,374.444458,cruise,,1,boundary
BS000301,109.2283003,23.0561338,374.444458,descend,S005,1,boundary
BS000302,109.235736474,23.051810962,374.444458,cruise,,1,boundary
BS000303,109.240693924,23.048929069,374.444458,cruise,,1,boundary
BS000304,109.241933286,23.048208596,374.444458,cruise,,1,boundary
BS000305,109.244412011,23.04676765,374.444458,cruise,,1,boundary
BS000306,109.255566272,23.040283392,374.444458,cruise,,1,boundary
BS000307,109.266637083,23.020828252,602.887512,cruise,,1,boundary
BS000308,109.211059741,23.052928225,618.613342,cruise,,1,boundary
BS000309,109.195309891,23.021656145,590.361328,cruise,,1,boundary
BS000310,109.19521715,23.021945168,590.361328,cruise,,1,boundary
BS000311,109.204589121,23.034328783,567.842102,cruise,,1,boundary
BS000312,109.209875193,23.063605044,567.842102,cruise,,1,boundary
BS000313,109.2127472,23.0795113,567.842102,descend,S008,1,boundary
BS000314,109.245453094,23.047692409,391.071289,cruise,,1,boundary
BS000315,109.267732049,23.01813081,433.222778,cruise,,1,boundary
BS000316,109.26734253,23.018071095,433.222778,cruise,,1,boundary
BS000317,109.259864244,23.041411652,435.34903,cruise,,1,boundary
BS000318,109.259353779,23.041125346,435.34903,cruise,,1,boundary
BS000319,109.263326622,23.02845787,394.170929,cruise,,1,boundary
BS000320,109.26309568,23.028382478,394.170929,cruise,,1,boundary
BS000321,109.268948803,23.00564737,606.662109,cruise,,1,boundary
BS000322,109.268628245,23.005656949,606.662109,cruise,,1,boundary
BS000323,109.195449046,23.032147188,651.260132,cruise,,1,boundary
BS000324,109.195296025,23.03300974,651.260132,cruise,,1,boundary
BS000325,109.204840251,23.034491892,468.370819,cruise,,1,boundary
BS000326,109.265843275,23.020625878,436.949646,cruise,,1,boundary
BS000327,109.200442043,23.028500734,436.949646,cruise,,1,boundary
BS000328,109.201372531,23.030197117,439.175354,cruise,,1,boundary
BS000329,109.201571286,23.030215207,439.175354,cruise,,1,boundary
BS000330,109.1928191,23.0294186,580.855774,cruise,,1,boundary
BS000331,109.268838394,23.009145476,580.855774,cruise,,1,boundary
BS000332,109.215939645,23.059490912,412.916504,cruise,,1,boundary
BS000333,109.215866177,23.059951644,412.916504,cruise,,1,boundary
BS000334,109.207117633,23.071204147,710.450928,cruise,,1,boundary
BS000335,109.20731703,23.071498383,710.450928,cruise,,1,boundary
BS000336,109.268847098,23.031167073,482.957275,cruise,,1,boundary
BS000337,109.265262246,23.03705016,482.957275,cruise,,1,boundary
BS000338,109.263111336,23.040580012,482.957275,cruise,,1,boundary
BS000339,109.257375574,23.04999295,482.957275,cruise,,1,boundary
BS000340,109.257727251,23.049415813,482.957275,cruise,,1,boundary
BS000341,109.269198775,23.030589936,482.957275,cruise,,1,boundary
BS000342,109.236743188,23.04326817,315.667664,cruise,,1,boundary
BS000343,109.256388521,23.051479194,552.772797,cruise,,1,boundary
BS000344,109.256235329,23.051739708,552.772797,cruise,,1,boundary
BS000345,109.269490547,23.02919816,552.772797,cruise,,1,boundary
BS000346,109.211337283,23.051248673,582.326782,cruise,,1,boundary
BS000347,109.25362973,23.055250391,582.326782,cruise,,1,boundary
BS000348,109.25268404,23.05516091,582.326782,cruise,,1,boundary
BS000349,109.211849953,23.051297182,582.326782,cruise,,1,boundary
BS000350,109.26604974,23.021642402,437.043335,cruise,,1,boundary
BS000351,109.265093151,23.023326119,618.326233,cruise,,1,boundary
BS000352,109.207743993,23.043933519,618.326233,cruise,,1,boundary
BS000353,109.257186737,23.045150114,420.450562,cruise,,1,boundary
BS000354,109.253089532,23.0436795,420.450562,cruise,,1,boundary
BS000355,109.244895123,23.040738273,420.450562,cruise,,1,boundary
BS000356,109.244918828,23.040746782,420.450562,cruise,,1,boundary
BS000357,109.254478972,23.044178213,420.450562,cruise,,1,boundary
BS000358,109.257210442,23.045158622,420.450562,cruise,,1,boundary
BS000359,109.261307647,23.046629236,420.450562,cruise,,1,boundary
BS000360,109.259906584,23.031275913,378.360809,cruise,,1,boundary
BS000361,109.268942804,23.011397599,618.566833,cruise,,1,boundary
BS000362,109.210549443,23.038059952,588.730652,cruise,,1,boundary
BS000363,109.283268409,23.040281942,531.185822,cruise,,1,boundary
BS000364,109.283217919,23.045677672,531.185822,cruise,,1,boundary
BS000365,109.271967815,23.029850893,533.260315,cruise,,1,boundary
BS000366,109.209433816,23.045489923,579.77063,cruise,,1,boundary
BS000367,109.2713839,23.0310882,529.77063,descend,S013,1,boundary
BS000368,109.208848109,23.045626084,579.77063,cruise,,1,boundary
BS000369,109.234825027,23.046255835,366.78717,cruise,,1,boundary
BS000370,109.228710937,23.055465387,366.78717,cruise,,1,boundary
BS000371,109.227182414,23.057767775,366.78717,cruise,,1,boundary
BS000372,109.2283003,23.0561338,370.0,climb,S005,1,boundary
BS000373,109.2283003,23.0561338,366.798645,descend,S005,1,boundary
BS000374,109.1928191,23.0294186,573.5,climb,S007,1,boundary
BS000375,109.193776175,23.030440472,593.237,cruise,,1,boundary
BS000376,109.208132304,23.045768559,593.237,cruise,,1,boundary
BS000377,109.2381714,23.0778414,533.237,descend,S004,1,boundary
BS000378,109.20332209,23.056238584,691.251038,cruise,,1,boundary
BS000379,109.205753976,23.057746092,691.251038,cruise,,1,boundary
BS000380,109.208185863,23.059253599,691.251038,cruise,,1,boundary
BS000381,109.2381714,23.0778414,531.251038,descend,S004,1,boundary
BS000382,109.2283003,23.0561338,356.7323,descend,S005,1,boundary
BS000383,109.2283003,23.0561338,357.147827,descend,S005,1,boundary
BS000384,109.2283003,23.0561338,354.444458,descend,S005,1,boundary
BS000385,109.265982402,23.021431168,602.887512,cruise,,1,boundary
BS000386,109.2283003,23.0561338,362.887512,descend,S005,1,boundary
BS000387,109.2283003,23.0561338,358.613342,descend,S005,1,boundary
BS000388,109.1928191,23.0294186,570.361328,descend,S007,1,boundary
BS000389,109.194330967,23.033218938,656.739502,cruise,,1,boundary
BS000390,109.208441729,23.068688761,656.739502,cruise,,1,boundary
BS000391,109.2127472,23.0795113,556.739502,descend,S008,1,boundary
BS000392,109.204811515,23.034479764,468.370819,cruise,,1,boundary
BS000393,109.248783702,23.053037366,468.370819,cruise,,1,boundary
BS000394,109.200085904,23.028543616,436.949646,cruise,,1,boundary
BS000395,109.266940496,23.020493763,436.949646,cruise,,1,boundary
BS000396,109.266987643,23.030994774,432.538116,cruise,,1,boundary
BS000397,109.201043781,23.029593385,432.538116,cruise,,1,boundary
BS000398,109.200146196,23.02957431,432.538116,cruise,,1,boundary
BS000399,109.267555477,23.031006841,432.538116,cruise,,1,boundary
BS000400,109.268111188,23.00933941,580.855774,cruise,,1,boundary
BS000401,109.1928191,23.0294186,580.855774,descend,S007,1,boundary
BS000402,109.236562841,23.043143468,315.667664,cruise,,1,boundary
BS000403,109.283211436,23.046370406,531.185822,cruise,,1,boundary
BS000404,109.283261927,23.040974676,531.185822,cruise,,1,boundary
BS000405,109.2713839,23.0310882,513.260315,descend,S013,1,boundary
BS000406,109.2713839,23.0310882,519.77063,descend,S013,1,boundary
BS000407,109.2713839,23.0310882,526.7,climb,S013,1,boundary
