task_id,uav_id,uav_type,battery_id,start_time_s,end_time_s,duration_s,energy_kWh,charge_start_s,charge_end_s,charge_duration_s,n_stops,n_boxes,visit_order
R000061,U01,A,BAT_A01,0.0,1727.3175960060048,1727.3175960060048,1.827226616519499,1727.3175960060048,2755.183063000527,1027.8654669945222,1,2,S007
R002168,U01,A,BAT_A02,2177.0,4727.281498790317,2550.2814987903166,3.525059627894519,4727.281498790317,6245.632057959844,1518.3505591695277,2,2,S013>S007
R071593,U01,A,BAT_A03,4728.0,5920.470877312685,1192.470877312685,1.22307515767693,5920.470877312685,6773.803700641576,853.332823328891,1,1,S001
R000086,U02,A,BAT_A02,0.0,1223.5352135344808,1223.5352135344808,1.194888093078244,1223.5352135344808,2068.725107090418,845.1898935559371,1,2,S011
R001706,U02,A,BAT_A05,1634.0,4072.1095066825583,2438.1095066825583,3.234563900698709,4072.1095066825583,5506.539077995519,1434.4295713129604,2,2,S005>S008
R000025,U02,A,BAT_A04,4073.0,6335.276992828245,2262.276992828245,2.963542785453088,6335.276992828245,7691.41157529247,1356.1345824642253,1,2,S003
R000100,U03,A,BAT_A03,0.0,1612.0233919046514,1612.0233919046514,1.895441441300517,1612.0233919046514,2659.595363835912,1047.5719719312606,1,2,S013
R071594,U03,A,BAT_A03,2660.0,3852.470877312685,1192.470877312685,1.22307515767693,3852.470877312685,4705.803700641576,853.332823328891,1,1,S001
R071595,U03,A,BAT_A06,3853.0,5045.470877312685,1192.470877312685,1.22307515767693,5045.470877312685,5898.803700641576,853.332823328891,1,1,S001
R002244,U04,A,BAT_A04,0.0,2481.2600857067764,2481.2600857067764,3.148166126032547,2481.2600857067764,3890.7302998939567,1409.4702141871803,2,3,S011>S008
R000074,U04,A,BAT_A01,3568.0,5259.534486238949,1691.5344862389493,2.3382502154288844,5259.534486238949,6435.028992918405,1175.4945066794553,1,2,S009
R000203,U05,B,BAT_B01,0.0,1576.1902081524602,1576.1902081524602,1.878779072601222,1576.1902081524602,3056.994472946323,1480.8042647938628,1,2,S007
R000234,U05,B,BAT_B03,1577.0,3131.5713591276817,1554.5713591276815,1.8210449428989823,3131.5713591276817,4587.357501050574,1455.7861419228925,1,3,S010
R000269,U05,B,BAT_B01,3132.0,4961.57299249031,1829.5729924903096,2.3109026130195294,4961.57299249031,6629.630791465439,1668.0577989751296,1,3,S015
R000215,U05,B,BAT_B03,4962.0,6867.888618492203,1905.888618492203,3.1580400807067988,6867.888618492203,8903.039320131815,2035.1507016396126,1,2,S008
R000262,U06,B,BAT_B02,0.0,1868.5974513534843,1868.5974513534843,2.137304308171069,1868.5974513534843,3461.429318227614,1592.83186687413,1,3,S014
R000248,U06,B,BAT_B04,1869.0,3792.80003809751,1923.80003809751,2.7552342804549035,3792.80003809751,5653.401559627968,1860.6015215304583,1,3,S012
R003841,U06,B,BAT_B02,3793.0,5824.652763374452,2031.652763374452,2.506530618927054,5824.652763374452,7577.482698242842,1752.8299348683902,2,3,S009>S002
R000490,U07,C,BAT_C01,0.0,2111.00675724525,2111.00675724525,6.181413550070367,2111.00675724525,4618.472927055975,2507.4661698107243,1,6,S002
R000543,U07,C,BAT_C04,2112.0,4547.809520857649,2435.8095208576483,6.203815391673846,4547.809520857649,7061.3428561026485,2513.5333352449998,1,6,S003
R000604,U07,C,BAT_C01,4619.0,6433.044640635813,1814.0446406358128,4.004412978691258,6433.044640635813,8350.906489031362,1917.8618483955493,1,5,S005
R000637,U08,C,BAT_C02,0.0,1560.8632994307263,1560.8632994307263,2.5939758810401803,1560.8632994307263,3096.731767212442,1535.8684677817155,1,6,S006
R000438,U08,C,BAT_C03,1561.0,3122.4261775174655,1561.4261775174657,2.92626894731049,3122.4261775174655,4748.290684080723,1625.8645065632577,1,7,S001
R000575,U08,C,BAT_C02,3123.0,5428.184064967842,2305.184064967841,6.1769107423796425,5428.184064967842,7934.430724362328,2506.2466593944864,1,6,S004
R000280,U08,C,BAT_C03,5429.0,6858.4261775174655,1429.4261775174657,2.1499433145188216,6858.4261775174655,8274.035825199646,1415.609647682181,1,5,S001
