task_id,box_id,delivery_time_s,deadline_s,delay_s
R014941,B033,17631.36644742694,7200.0,10431.366447426939
R071674,B069,9937.075309345426,3600.0,6337.075309345426
R071674,B070,9937.075309345426,3600.0,6337.075309345426
R000462,B017,7817.634665381426,3600.0,4217.634665381426
R055539,B050,5744.671231858466,3600.0,2144.671231858466
R068764,B045,12015.039794050374,3600.0,8415.039794050374
R057786,B032,15124.901410103432,7200.0,7924.901410103432
R057786,B039,14526.301410103431,10800.0,3726.3014101034314
R053648,B025,19687.880709688066,7200.0,12487.880709688066
