task_id,gap_id,gap_index,tau_start,tau_end,duration_s,n_outage_samples
R004070,G002065,1,774.701,1639.89,865.189,88
R004070,G002066,2,1862.069,2191.428,329.359,34
R004071,G002067,1,774.701,1639.89,865.189,88
R004071,G002068,2,1862.069,2191.428,329.359,34
R004087,G002069,1,774.701,1576.048,801.347,81
R004089,G002070,1,774.701,1576.048,801.347,81
R004091,G002071,1,774.701,1576.048,801.347,81
R004093,G002072,1,774.701,1576.048,801.347,81
R004094,G002073,1,1087.908,1902.459,814.551,83
R004101,G002074,1,774.701,1576.048,801.347,81
R004103,G002075,1,804.701,1606.048,801.347,81
R004105,G002076,1,804.701,1606.048,801.347,81
R004107,G002077,1,804.701,1636.048,831.347,84
R004108,G002078,1,1117.908,1962.459,844.551,86
R004109,G002079,1,774.701,1576.048,801.347,81
R004111,G002080,1,774.701,1576.048,801.347,81
R004114,G002081,1,774.701,1576.048,801.347,81
R004116,G002082,1,804.701,1606.048,801.347,81
R004120,G002083,1,774.701,1576.048,801.347,81
R004122,G002084,1,774.701,1576.048,801.347,81
R004147,G002085,1,774.701,1763.719,989.018,102
R004148,G002086,1,758.091,1751.971,993.88,103
R004149,G002087,1,774.701,1763.719,989.018,102
R004150,G002088,1,758.091,1751.971,993.88,103
R004153,G002089,1,774.701,1763.719,989.018,102
R004154,G002090,1,758.091,1751.971,993.88,103
R004156,G002091,1,758.091,1751.971,993.88,103
R004158,G002092,1,758.091,1751.971,993.88,103
R004159,G002093,1,774.701,1763.719,989.018,102
R004161,G002094,1,774.701,1763.719,989.018,102
R004162,G002095,1,758.091,1751.971,993.88,103
R004167,G002096,1,804.701,1823.719,1019.018,105
R004168,G002097,1,788.091,1811.971,1023.88,106
R004169,G002098,1,774.701,1763.719,989.018,102
R004170,G002099,1,758.091,1751.971,993.88,103
R004171,G002100,1,774.701,1763.719,989.018,102
R004172,G002101,1,758.091,1751.971,993.88,103
R004175,G002102,1,774.701,1763.719,989.018,102
