task_id,uav_id,uav_type,battery_id,start_time_s,end_time_s,duration_s,energy_kWh,charge_start_s,charge_end_s,charge_duration_s,n_stops,n_boxes,visit_order
R000054,U01,A,BAT_A01,0.0,1312.6149834599576,1312.6149834599576,1.2673398458663825,1312.6149834599576,2178.7353833769125,866.120399916955,1,2,S006
R071593,U01,A,BAT_A04,2046.0,3238.470877312685,1192.470877312685,1.22307515767693,3238.470877312685,4091.803700641576,853.332823328891,1,1,S001
R000074,U02,A,BAT_A02,0.0,1691.5344862389493,1691.5344862389493,2.3382502154288844,1691.5344862389493,2867.0289929184046,1175.4945066794553,1,2,S009
R000025,U02,A,BAT_A03,2069.0,4331.276992828245,2262.276992828245,2.963542785453088,4331.276992828245,5687.41157529247,1356.1345824642253,1,2,S003
R000086,U03,A,BAT_A03,0.0,1223.5352135344808,1223.5352135344808,1.194888093078244,1223.5352135344808,2068.725107090418,845.1898935559371,1,2,S011
R001706,U03,A,BAT_A06,1224.0,3662.1095066825583,2438.1095066825583,3.234563900698709,3662.1095066825583,5096.539077995519,1434.4295713129604,2,2,S005>S008
R071594,U04,A,BAT_A04,0.0,1192.470877312685,1192.470877312685,1.22307515767693,1192.470877312685,2045.803700641576,853.332823328891,1,1,S001
R071595,U04,A,BAT_A05,1193.0,2385.470877312685,1192.470877312685,1.22307515767693,2385.470877312685,3238.803700641576,853.332823328891,1,1,S001
R000248,U05,B,BAT_B01,0.0,1923.80003809751,1923.80003809751,2.7552342804549035,1923.80003809751,3784.4015596279683,1860.6015215304583,1,3,S012
R000262,U05,B,BAT_B04,1924.0,3792.5974513534843,1868.5974513534843,2.137304308171069,3792.5974513534843,5385.429318227614,1592.83186687413,1,3,S014
R000269,U05,B,BAT_B01,3793.0,5622.57299249031,1829.5729924903096,2.3109026130195294,5622.57299249031,7290.630791465439,1668.0577989751296,1,3,S015
R000215,U05,B,BAT_B04,5623.0,7528.888618492203,1905.888618492203,3.1580400807067988,7528.888618492203,9564.039320131815,2035.1507016396126,1,2,S008
R000255,U06,B,BAT_B02,0.0,1510.4000484846588,1510.4000484846588,1.824566933772147,1510.4000484846588,2967.7123864525893,1457.3123379679305,1,3,S013
R000234,U06,B,BAT_B03,1511.0,3065.5713591276817,1554.5713591276815,1.8210449428989823,3065.5713591276817,4521.357501050574,1455.7861419228925,1,3,S010
R005826,U06,B,BAT_B02,3066.0,5276.012915326489,2210.012915326489,2.56199425428222,5276.012915326489,7052.877092182118,1776.8641768556288,2,3,S011>S008
R003841,U06,B,BAT_B03,5277.0,7308.652763374452,2031.652763374452,2.506530618927054,7308.652763374452,9061.482698242842,1752.8299348683902,2,3,S009>S002
R000438,U07,C,BAT_C01,0.0,1561.4261775174657,1561.4261775174657,2.92626894731049,1561.4261775174657,3187.2906840807236,1625.8645065632577,1,7,S001
R000660,U07,C,BAT_C04,1562.0,3469.481266502069,1907.4812665020693,3.410443405708377,3469.481266502069,5226.476355548088,1756.9950890460188,1,5,S007
R000575,U07,C,BAT_C01,3470.0,5775.184064967842,2305.184064967841,6.1769107423796425,5775.184064967842,8281.430724362328,2506.2466593944864,1,6,S004
R000604,U07,C,BAT_C04,5776.0,7590.044640635813,1814.0446406358128,4.004412978691258,7590.044640635813,9507.906489031362,1917.8618483955493,1,5,S005
R000619,U08,C,BAT_C02,0.0,1428.8632994307263,1428.8632994307263,2.404206826670654,1428.8632994307263,2913.3359816540287,1484.4726822233022,1,4,S006
R000490,U08,C,BAT_C03,1495.0,3606.00675724525,2111.00675724525,6.181413550070367,3606.00675724525,6113.472927055975,2507.4661698107243,1,6,S002
R000543,U08,C,BAT_C02,3607.0,6042.809520857649,2435.8095208576483,6.203815391673846,6042.809520857649,8556.342856102649,2513.5333352449998,1,6,S003
R000280,U08,C,BAT_C03,6114.0,7543.4261775174655,1429.4261775174657,2.1499433145188216,7543.4261775174655,8959.035825199646,1415.609647682181,1,5,S001
