pattern_id,uav_type,n_stops,visit_order,n_boxes,total_mass_kg,total_volume_m3,energy_kWh,duration_s,end_SOC,has_hard_deadline,latest_start_s
P000019,A,1,S001,3,20.0,0.051000000000000004,1.2680232749127218,1312.470877312685,0.7182170500193952,True,2630.641228010324
P000020,A,1,S001,3,20.0,0.051000000000000004,1.2680232749127218,1312.470877312685,0.7182170500193952,True,2630.641228010324
P000021,A,1,S001,3,12.0,0.059000000000000004,1.2108193760785582,1312.470877312685,0.7309290275380982,True,2630.641228010324
P000022,A,1,S001,3,14.0,0.052000000000000005,1.2230751576769299,1312.470877312685,0.7282055205162379,True,2630.641228010324
P000023,A,1,S002,1,14.0,0.027,2.8804520955606967,1947.7309474720896,0.3598995343198452,False,inf
P000024,A,1,S002,1,14.0,0.027,2.8804520955606967,1947.7309474720896,0.3598995343198452,True,2374.194526263955
P000025,A,1,S002,1,6.0,0.035,2.784760777273276,1947.7309474720896,0.3811642717170498,False,inf
P000026,A,1,S002,1,8.0,0.028,2.8041769787962227,1947.7309474720896,0.37684956026750605,False,inf
P000027,A,1,S002,2,22.0,0.055,3.0281685265506377,2007.7309474720896,0.327073660766525,False,inf
P000028,A,1,S002,2,22.0,0.055,3.0281685265506377,2007.7309474720896,0.327073660766525,True,2314.194526263955
