flight_id,uav_id,time,x,y,z,phase,node
1,U01,0.0,109.2308517,23.0085095,127.7,setup,O01
1,U01,10.0,109.2308517,23.0085095,127.7,setup,O01
1,U01,20.0,109.2308517,23.0085095,127.7,setup,O01
1,U01,30.0,109.2308517,23.0085095,127.7,setup,O01
1,U01,40.0,109.2308517,23.0085095,127.7,setup,O01
1,U01,50.0,109.2308517,23.0085095,127.7,setup,O01
1,U01,60.0,109.2308517,23.0085095,127.7,setup,O01
1,U01,70.0,109.2308517,23.0085095,127.7,setup,O01
1,U01,80.0,109.2308517,23.0085095,127.7,setup,O01
1,U01,90.0,109.2308517,23.0085095,127.7,setup,O01
1,U01,100.0,109.2308517,23.0085095,127.7,setup,O01
1,U01,110.0,109.2308517,23.0085095,127.7,setup,O01
1,U01,120.0,109.2308517,23.0085095,127.7,setup,O01
1,U01,130.0,109.2308517,23.0085095,127.7,setup,O01
1,U01,140.0,109.2308517,23.0085095,127.7,setup,O01
1,U01,150.0,109.2308517,23.0085095,127.7,setup,O01
1,U01,160.0,109.2308517,23.0085095,127.7,setup,O01
1,U01,170.0,109.2308517,23.0085095,127.7,setup,O01
1,U01,180.0,109.2308517,23.0085095,127.7,setup,O01
1,U01,190.0,109.2308517,23.0085095,127.7,setup,O01
1,U01,200.0,109.2308517,23.0085095,127.7,setup,O01
1,U01,210.0,109.2308517,23.0085095,127.7,setup,O01
1,U01,220.0,109.2308517,23.0085095,127.7,setup,O01
1,U01,230.0,109.2308517,23.0085095,127.7,setup,O01
1,U01,240.0,109.2308517,23.0085095,127.7,setup,O01
1,U01,250.0,109.2308517,23.0085095,127.7,setup,O01
1,U01,260.0,109.2308517,23.0085095,127.7,setup,O01
1,U01,270.0,109.2308517,23.0085095,127.7,setup,O01
1,U01,280.0,109.2308517,23.0085095,127.7,setup,O01
1,U01,290.0,109.2308517,23.0085095,127.7,setup,O01
1,U01,300.0,109.2308517,23.0085095,127.7,setup,O01
1,U01,310.0,109.2308517,23.0085095,127.7,setup,O01
1,U01,320.0,109.2308517,23.0085095,127.7,setup,O01
1,U01,330.0,109.2308517,23.0085095,127.7,climb,O01
1,U01,340.0,109.2308517,23.0085095,157.7,climb,O01
1,U01,350.0,109.2308517,23.0085095,187.7,climb,O01
1,U01,360.0,109.2308517,23.0085095,217.70000000000002,climb,O01
1,U01,370.0,109.2308517,23.0085095,247.7,climb,O01
1,U01,380.0,109.2308517,23.0085095,277.7,climb,O01
1,U01,381.3276306152344,109.2308517,23.0085095,281.6828918457031,cruise,
1,U01,391.3276306152344,109.2313366580725,23.009492060889468,281.6828918457031,cruise,
1,U01,401.3276306152344,109.23182161614497,23.010474621778936,281.6828918457031,cruise,
1,U01,411.3276306152344,109.23230657421746,23.011457182668405,281.6828918457031,cruise,
1,U01,421.3276306152344,109.23279153228995,23.012439743557874,281.6828918457031,cruise,
1,U01,431.3276306152344,109.23327649036244,23.013422304447342,281.6828918457031,cruise,
1,U01,441.3276306152344,109.23376144843492,23.01440486533681,281.6828918457031,cruise,
1,U01,451.3276306152344,109.23424640650741,23.01538742622628,281.6828918457031,cruise,
1,U01,461.3276306152344,109.2347313645799,23.01636998711575,281.6828918457031,cruise,
1,U01,471.3276306152344,109.23521632265238,23.017352548005217,281.6828918457031,cruise,
1,U01,481.3276306152344,109.23570128072487,23.018335108894686,281.6828918457031,cruise,
1,U01,491.3276306152344,109.23618623879736,23.019317669784154,281.6828918457031,cruise,
1,U01,501.3276306152344,109.23667119686984,23.020300230673623,281.6828918457031,cruise,
1,U01,511.3276306152344,109.23715615494233,23.02128279156309,281.6828918457031,cruise,
1,U01,521.3276306152344,109.23764111301482,23.02226535245256,281.6828918457031,cruise,
1,U01,531.3276306152344,109.23812607108731,23.02324791334203,281.6828918457031,cruise,
1,U01,541.3276306152344,109.23861102915978,23.024230474231498,281.6828918457031,cruise,
1,U01,551.3276306152344,109.23909598723228,23.025213035120967,281.6828918457031,cruise,
1,U01,561.3276306152344,109.23958094530477,23.026195596010435,281.6828918457031,cruise,
1,U01,571.3276306152344,109.24006590337724,23.027178156899904,281.6828918457031,cruise,
1,U01,581.3276306152344,109.24055086144973,23.028160717789373,281.6828918457031,cruise,
1,U01,591.3276306152344,109.24103581952222,23.02914327867884,281.6828918457031,cruise,
1,U01,601.3276306152344,109.2415207775947,23.03012583956831,281.6828918457031,cruise,
1,U01,611.3276306152344,109.24200573566719,23.03110840045778,281.6828918457031,cruise,
1,U01,621.3276306152344,109.24249069373968,23.03209096134725,281.6828918457031,cruise,
1,U01,631.3276306152344,109.24297565181217,23.03307352223672,281.6828918457031,cruise,
1,U01,636.6115551928008,109.2432319,23.0335927,281.6828918457031,descend,S001
1,U01,646.6115551928008,109.2432319,23.0335927,256.6828918457031,descend,S001
1,U01,656.6115551928008,109.2432319,23.0335927,231.68289184570312,descend,S001
1,U01,666.6115551928008,109.2432319,23.0335927,206.68289184570312,descend,S001
1,U01,675.684711931082,109.2432319,23.0335927,184.0,handover,S001
1,U01,685.684711931082,109.2432319,23.0335927,184.0,handover,S001
1,U01,695.684711931082,109.2432319,23.0335927,184.0,handover,S001
1,U01,705.684711931082,109.2432319,23.0335927,184.0,handover,S001
1,U01,715.684711931082,109.2432319,23.0335927,184.0,handover,S001
1,U01,725.684711931082,109.2432319,23.0335927,184.0,handover,S001
1,U01,735.684711931082,109.2432319,23.0335927,184.0,handover,S001
1,U01,745.684711931082,109.2432319,23.0335927,184.0,handover,S001
1,U01,755.684711931082,109.2432319,23.0335927,184.0,handover,S001
1,U01,765.684711931082,109.2432319,23.0335927,184.0,handover,S001
