rho,service,objective,total_boxes,N_f,E_total_kWh,T_total_s,A_sorties,B_sorties,C_sorties
10,S010,T-opt,3,1,1.804912115129597,1524.547034583411,0,1,0
10,S011,N-opt,3,1,1.0542701525007734,1132.6456889753713,0,1,0
10,S011,E-opt,3,1,1.0542701525007734,1132.6456889753713,0,1,0
10,S011,T-opt,3,1,1.0542701525007734,1132.6456889753713,0,1,0
10,S012,N-opt,3,1,2.7498930409760503,1917.9408462029787,0,1,0
10,S012,E-opt,3,1,2.7498930409760503,1917.9408462029787,0,1,0
10,S012,T-opt,3,1,2.7498930409760503,1917.9408462029787,0,1,0
10,S013,N-opt,3,1,1.8209951870678336,1507.5018734358305,0,1,0
10,S013,E-opt,3,1,1.8209951870678336,1507.5018734358305,0,1,0
10,S013,T-opt,3,1,1.8209951870678336,1507.5018734358305,0,1,0
10,S014,N-opt,3,1,2.0196221452292424,1580.116744566375,0,1,0
10,S014,E-opt,3,1,2.0196221452292424,1580.116744566375,0,1,0
10,S014,T-opt,3,1,2.0196221452292424,1580.116744566375,0,1,0
10,S015,N-opt,3,1,2.2954594864258335,1799.1455897396588,0,1,0
10,S015,E-opt,3,1,2.2954594864258335,1799.1455897396588,0,1,0
10,S015,T-opt,3,1,2.2954594864258335,1799.1455897396588,0,1,0
15,S001,N-opt,15,2,5.926638928479638,3157.0380636530954,0,0,2
15,S001,E-opt,15,2,5.926638928479638,3157.0380636530954,0,0,2
15,S001,T-opt,15,2,5.926638928479638,3157.0380636530954,0,0,2
15,S002,N-opt,8,2,8.541743048816581,4085.0939649299526,0,1,1
15,S002,E-opt,8,2,8.541743048816581,4085.0939649299526,0,1,1
15,S002,T-opt,8,2,8.541743048816581,4085.0939649299526,0,1,1
15,S003,N-opt,8,2,8.390459807179052,4162.930056526495,0,1,1
15,S003,E-opt,8,2,8.390459807179052,4162.930056526495,0,1,1
15,S003,T-opt,8,2,8.390459807179052,4162.930056526495,0,1,1
15,S004,N-opt,6,1,6.119363799617691,2188.2416882588564,0,0,1
15,S004,E-opt,6,1,6.119363799617691,2188.2416882588564,0,0,1
15,S004,T-opt,6,1,6.119363799617691,2188.2416882588564,0,0,1
15,S005,N-opt,6,1,4.168924263280374,1723.9815699571022,0,0,1
15,S005,E-opt,6,1,4.168924263280374,1723.9815699571022,0,0,1
15,S005,T-opt,6,1,4.168924263280374,1723.9815699571022,0,0,1
15,S006,N-opt,6,1,2.5631494790859533,1487.1161986006484,0,0,1
15,S006,E-opt,6,1,2.5631494790859533,1487.1161986006484,0,0,1
15,S006,T-opt,6,1,2.5631494790859533,1487.1161986006484,0,0,1
15,S007,N-opt,5,1,3.382114976092084,1896.7154889141789,0,0,1
15,S007,E-opt,5,1,3.382114976092084,1896.7154889141789,0,0,1
15,S007,T-opt,5,1,3.382114976092084,1896.7154889141789,0,0,1
15,S008,N-opt,5,1,5.825076922464769,2136.7274297308095,0,0,1
15,S008,E-opt,5,2,5.7101177583093925,3762.541588384146,0,2,0
15,S008,T-opt,5,1,5.825076922464769,2136.7274297308095,0,0,1
15,S009,N-opt,3,1,2.130236530099273,1631.3782951272271,0,1,0
15,S009,E-opt,3,1,2.130236530099273,1631.3782951272271,0,1,0
15,S009,T-opt,3,1,2.130236530099273,1631.3782951272271,0,1,0
15,S010,N-opt,3,1,1.804912115129597,1524.547034583411,0,1,0
15,S010,E-opt,3,1,1.804912115129597,1524.547034583411,0,1,0
15,S010,T-opt,3,1,1.804912115129597,1524.547034583411,0,1,0
15,S011,N-opt,3,1,1.0542701525007734,1132.6456889753713,0,1,0
15,S011,E-opt,3,1,1.0542701525007734,1132.6456889753713,0,1,0
15,S011,T-opt,3,1,1.0542701525007734,1132.6456889753713,0,1,0
15,S012,N-opt,3,1,2.7498930409760503,1917.9408462029787,0,1,0
15,S012,E-opt,3,1,2.7498930409760503,1917.9408462029787,0,1,0
15,S012,T-opt,3,1,2.7498930409760503,1917.9408462029787,0,1,0
15,S013,N-opt,3,1,1.8209951870678336,1507.5018734358305,0,1,0
15,S013,E-opt,3,1,1.8209951870678336,1507.5018734358305,0,1,0
15,S013,T-opt,3,1,1.8209951870678336,1507.5018734358305,0,1,0
15,S014,N-opt,3,1,2.0196221452292424,1580.116744566375,0,1,0
15,S014,E-opt,3,1,2.0196221452292424,1580.116744566375,0,1,0
15,S014,T-opt,3,1,2.0196221452292424,1580.116744566375,0,1,0
15,S015,N-opt,3,1,2.2954594864258335,1799.1455897396588,0,1,0
15,S015,E-opt,3,1,2.2954594864258335,1799.1455897396588,0,1,0
15,S015,T-opt,3,1,2.2954594864258335,1799.1455897396588,0,1,0
20,S001,N-opt,15,2,5.926638928479638,3157.0380636530954,0,0,2
20,S001,E-opt,15,2,5.926638928479638,3157.0380636530954,0,0,2
20,S001,T-opt,15,2,5.926638928479638,3157.0380636530954,0,0,2
20,S002,N-opt,8,2,8.541743048816581,4085.0939649299526,0,1,1
20,S002,E-opt,8,2,8.541743048816581,4085.0939649299526,0,1,1
20,S002,T-opt,8,2,8.541743048816581,4085.0939649299526,0,1,1
20,S003,N-opt,8,2,8.390459807179052,4162.930056526495,0,1,1
20,S003,E-opt,8,2,8.390459807179052,4162.930056526495,0,1,1
20,S003,T-opt,8,2,8.390459807179052,4162.930056526495,0,1,1
20,S004,N-opt,6,1,6.119363799617691,2188.2416882588564,0,0,1
20,S004,E-opt,6,1,6.119363799617691,2188.2416882588564,0,0,1
20,S004,T-opt,6,1,6.119363799617691,2188.2416882588564,0,0,1
20,S005,N-opt,6,1,4.168924263280374,1723.9815699571022,0,0,1
20,S005,E-opt,6,1,4.168924263280374,1723.9815699571022,0,0,1
20,S005,T-opt,6,1,4.168924263280374,1723.9815699571022,0,0,1
20,S006,N-opt,6,1,2.5631494790859533,1487.1161986006484,0,0,1
20,S006,E-opt,6,1,2.5631494790859533,1487.1161986006484,0,0,1
20,S006,T-opt,6,1,2.5631494790859533,1487.1161986006484,0,0,1
20,S007,N-opt,5,1,3.382114976092084,1896.7154889141789,0,0,1
20,S007,E-opt,5,1,3.382114976092084,1896.7154889141789,0,0,1
20,S007,T-opt,5,1,3.382114976092084,1896.7154889141789,0,0,1
20,S008,N-opt,5,1,5.825076922464769,2136.7274297308095,0,0,1
20,S008,E-opt,5,2,5.7101177583093925,3762.541588384146,0,2,0
20,S008,T-opt,5,1,5.825076922464769,2136.7274297308095,0,0,1
20,S009,N-opt,3,1,2.130236530099273,1631.3782951272271,0,1,0
20,S009,E-opt,3,1,2.130236530099273,1631.3782951272271,0,1,0
20,S009,T-opt,3,1,2.130236530099273,1631.3782951272271,0,1,0
20,S010,N-opt,3,1,1.804912115129597,1524.547034583411,0,1,0
20,S010,E-opt,3,1,1.804912115129597,1524.547034583411,0,1,0
20,S010,T-opt,3,1,1.804912115129597,1524.547034583411,0,1,0
20,S011,N-opt,3,1,1.0542701525007734,1132.6456889753713,0,1,0
20,S011,E-opt,3,1,1.0542701525007734,1132.6456889753713,0,1,0
20,S011,T-opt,3,1,1.0542701525007734,1132.6456889753713,0,1,0
20,S012,N-opt,3,1,2.7498930409760503,1917.9408462029787,0,1,0
20,S012,E-opt,3,1,2.7498930409760503,1917.9408462029787,0,1,0
20,S012,T-opt,3,1,2.7498930409760503,1917.9408462029787,0,1,0
20,S013,N-opt,3,1,1.8209951870678336,1507.5018734358305,0,1,0
20,S013,E-opt,3,1,1.8209951870678336,1507.5018734358305,0,1,0
20,S013,T-opt,3,1,1.8209951870678336,1507.5018734358305,0,1,0
20,S014,N-opt,3,1,2.0196221452292424,1580.116744566375,0,1,0
20,S014,E-opt,3,1,2.0196221452292424,1580.116744566375,0,1,0
20,S014,T-opt,3,1,2.0196221452292424,1580.116744566375,0,1,0
20,S015,N-opt,3,1,2.2954594864258335,1799.1455897396588,0,1,0
20,S015,E-opt,3,1,2.2954594864258335,1799.1455897396588,0,1,0
20,S015,T-opt,3,1,2.2954594864258335,1799.1455897396588,0,1,0
25,S001,N-opt,15,2,5.926638928479638,3157.0380636530954,0,0,2
25,S001,E-opt,15,2,5.926638928479638,3157.0380636530954,0,0,2
25,S001,T-opt,15,2,5.926638928479638,3157.0380636530954,0,0,2
25,S002,N-opt,8,2,8.541743048816581,4085.0939649299526,0,1,1
25,S002,E-opt,8,2,8.541743048816581,4085.0939649299526,0,1,1
25,S002,T-opt,8,2,8.541743048816581,4085.0939649299526,0,1,1
25,S003,N-opt,8,2,8.390459807179052,4162.930056526495,0,1,1
25,S003,E-opt,8,2,8.390459807179052,4162.930056526495,0,1,1
25,S003,T-opt,8,2,8.390459807179052,4162.930056526495,0,1,1
25,S004,N-opt,6,2,8.036847863441396,3886.72631678464,0,1,1
25,S004,E-opt,6,3,7.897251228014297,5491.453885577351,0,3,0
25,S004,T-opt,6,2,8.128558137693535,3880.7263167846404,0,1,1
25,S005,N-opt,6,1,4.168924263280374,1723.9815699571022,0,0,1
25,S005,E-opt,6,1,4.168924263280374,1723.9815699571022,0,0,1
25,S005,T-opt,6,1,4.168924263280374,1723.9815699571022,0,0,1
25,S006,N-opt,6,1,2.5631494790859533,1487.1161986006484,0,0,1
25,S006,E-opt,6,1,2.5631494790859533,1487.1161986006484,0,0,1
25,S006,T-opt,6,1,2.5631494790859533,1487.1161986006484,0,0,1
25,S007,N-opt,5,1,3.382114976092084,1896.7154889141789,0,0,1
25,S007,E-opt,5,1,3.382114976092084,1896.7154889141789,0,0,1
25,S007,T-opt,5,1,3.382114976092084,1896.7154889141789,0,0,1
25,S008,N-opt,5,1,5.825076922464769,2136.7274297308095,0,0,1
25,S008,E-opt,5,2,5.7101177583093925,3762.541588384146,0,2,0
25,S008,T-opt,5,1,5.825076922464769,2136.7274297308095,0,0,1
25,S009,N-opt,3,1,2.130236530099273,1631.3782951272271,0,1,0
25,S009,E-opt,3,1,2.130236530099273,1631.3782951272271,0,1,0
25,S009,T-opt,3,1,2.130236530099273,1631.3782951272271,0,1,0
25,S010,N-opt,3,1,1.804912115129597,1524.547034583411,0,1,0
25,S010,E-opt,3,1,1.804912115129597,1524.547034583411,0,1,0
25,S010,T-opt,3,1,1.804912115129597,1524.547034583411,0,1,0
25,S011,N-opt,3,1,1.0542701525007734,1132.6456889753713,0,1,0
25,S011,E-opt,3,1,1.0542701525007734,1132.6456889753713,0,1,0
25,S011,T-opt,3,1,1.0542701525007734,1132.6456889753713,0,1,0
25,S012,N-opt,3,1,2.7498930409760503,1917.9408462029787,0,1,0
25,S012,E-opt,3,1,2.7498930409760503,1917.9408462029787,0,1,0
25,S012,T-opt,3,1,2.7498930409760503,1917.9408462029787,0,1,0
25,S013,N-opt,3,1,1.8209951870678336,1507.5018734358305,0,1,0
25,S013,E-opt,3,1,1.8209951870678336,1507.5018734358305,0,1,0
25,S013,T-opt,3,1,1.8209951870678336,1507.5018734358305,0,1,0
25,S014,N-opt,3,1,2.0196221452292424,1580.116744566375,0,1,0
25,S014,E-opt,3,1,2.0196221452292424,1580.116744566375,0,1,0
25,S014,T-opt,3,1,2.0196221452292424,1580.116744566375,0,1,0
25,S015,N-opt,3,1,2.2954594864258335,1799.1455897396588,0,1,0
25,S015,E-opt,3,1,2.2954594864258335,1799.1455897396588,0,1,0
25,S015,T-opt,3,1,2.2954594864258335,1799.1455897396588,0,1,0
30,S001,N-opt,15,2,5.926638928479638,3157.0380636530954,0,0,2
30,S001,E-opt,15,2,5.926638928479638,3157.0380636530954,0,0,2
30,S001,T-opt,15,2,5.926638928479638,3157.0380636530954,0,0,2
30,S002,N-opt,8,2,10.535570653904827,4200.681287928,0,0,2
30,S002,E-opt,8,4,10.306789593172638,7435.013283863812,0,4,0
30,S002,T-opt,8,2,10.535570653904827,4200.681287928,0,0,2
30,S003,N-opt,8,2,10.339160951207239,4291.200047574672,0,0,2
30,S003,E-opt,8,4,10.154680211785246,7565.320130956636,0,4,0
30,S003,T-opt,8,2,10.339160951207239,4291.200047574672,0,0,2
30,S004,N-opt,6,2,8.036847863441396,3886.72631678464,0,1,1
30,S004,E-opt,6,3,7.897251228014297,5491.453885577351,0,3,0
30,S004,T-opt,6,2,8.036847863441396,3886.72631678464,0,1,1
30,S005,N-opt,6,1,4.168924263280374,1723.9815699571022,0,0,1
30,S005,E-opt,6,1,4.168924263280374,1723.9815699571022,0,0,1
30,S005,T-opt,6,1,4.168924263280374,1723.9815699571022,0,0,1
30,S006,N-opt,6,1,2.5631494790859533,1487.1161986006484,0,0,1
30,S006,E-opt,6,1,2.5631494790859533,1487.1161986006484,0,0,1
30,S006,T-opt,6,1,2.5631494790859533,1487.1161986006484,0,0,1
30,S007,N-opt,5,1,3.382114976092084,1896.7154889141789,0,0,1
30,S007,E-opt,5,1,3.382114976092084,1896.7154889141789,0,0,1
30,S007,T-opt,5,1,3.382114976092084,1896.7154889141789,0,0,1
30,S008,N-opt,5,2,8.031531336102638,3855.998223922883,0,1,1
30,S008,E-opt,5,3,7.807136769374286,5493.8123825762195,0,3,0
30,S008,T-opt,5,2,8.031531336102638,3855.998223922883,0,1,1
30,S009,N-opt,3,1,2.130236530099273,1631.3782951272271,0,1,0
30,S009,E-opt,3,1,2.130236530099273,1631.3782951272271,0,1,0
30,S009,T-opt,3,1,2.130236530099273,1631.3782951272271,0,1,0
30,S010,N-opt,3,1,1.804912115129597,1524.547034583411,0,1,0
30,S010,E-opt,3,1,1.804912115129597,1524.547034583411,0,1,0
30,S010,T-opt,3,1,1.804912115129597,1524.547034583411,0,1,0
30,S011,N-opt,3,1,1.0542701525007734,1132.6456889753713,0,1,0
30,S011,E-opt,3,1,1.0542701525007734,1132.6456889753713,0,1,0
30,S011,T-opt,3,1,1.0542701525007734,1132.6456889753713,0,1,0
30,S012,N-opt,3,1,2.7498930409760503,1917.9408462029787,0,1,0
30,S012,E-opt,3,1,2.7498930409760503,1917.9408462029787,0,1,0
30,S012,T-opt,3,1,2.7498930409760503,1917.9408462029787,0,1,0
30,S013,N-opt,3,1,1.8209951870678336,1507.5018734358305,0,1,0
30,S013,E-opt,3,1,1.8209951870678336,1507.5018734358305,0,1,0
30,S013,T-opt,3,1,1.8209951870678336,1507.5018734358305,0,1,0
30,S014,N-opt,3,1,2.0196221452292424,1580.116744566375,0,1,0
30,S014,E-opt,3,1,2.0196221452292424,1580.116744566375,0,1,0
30,S014,T-opt,3,1,2.0196221452292424,1580.116744566375,0,1,0
30,S015,N-opt,3,1,2.2954594864258335,1799.1455897396588,0,1,0
30,S015,E-opt,3,1,2.2954594864258335,1799.1455897396588,0,1,0
30,S015,T-opt,3,1,2.2954594864258335,1799.1455897396588,0,1,0
