from,to,distance,h_max,cruise_height,climb_height,descent_height
O01,S001,3063.407094930797,231.68289184570312,281.6828918457031,153.98289184570314,97.68289184570312
O01,S002,7435.2682483091,296.87615966796875,346.87615966796875,219.17615966796876,127.37615966796875
O01,S003,7261.0655409538485,308.51068115234375,358.51068115234375,230.81068115234376,20.01068115234375
O01,S004,7745.651742751971,244.46731567382812,294.4673156738281,166.76731567382814,66.16731567382811
O01,S005,5302.0128076982855,169.03955078125,219.03955078125,91.33955078125,24.03955078125
O01,S006,3181.0289144316203,275.1272277832031,325.1272277832031,197.42722778320314,10.327227783203114
O01,S007,4533.821635606341,314.2220458984375,364.2220458984375,236.5220458984375,15.7220458984375
O01,S008,8109.461983662226,248.2891845703125,298.2891845703125,170.5891845703125,27.389184570312523
O01,S009,5722.672488722757,286.5618591308594,336.5618591308594,208.8618591308594,106.56185913085938
O01,S010,4778.43330136777,321.5816650390625,371.5816650390625,243.8816650390625,19.981665039062477
O01,S011,2817.14783394126,205.3607177734375,255.3607177734375,127.6607177734375,43.260717773437506
O01,S012,7398.43934212781,327.62396240234375,377.62396240234375,249.92396240234376,97.82396240234374
O01,S013,4848.700302599784,321.70806884765625,371.70806884765625,244.00806884765626,20.00806884765626
O01,S014,5410.909620502695,320.9825134277344,370.9825134277344,243.2825134277344,19.982513427734375
O01,S015,6019.105634595292,466.4627990722656,516.4627990722656,388.76279907226564,41.962799072265625
S001,O01,3063.407094930797,196.75572204589844,246.75572204589844,62.75572204589844,119.05572204589843
S001,S002,4375.111429947296,234.326171875,284.326171875,100.326171875,64.826171875
S001,S003,7646.659009326058,308.51068115234375,358.51068115234375,174.51068115234375,20.01068115234375
S001,S004,4947.397665203851,207.44631958007812,257.4463195800781,73.44631958007812,29.146319580078114
S001,S005,2935.3982704178266,233.321533203125,283.321533203125,99.321533203125,88.321533203125
S001,S006,5296.389689052462,275.1272277832031,325.1272277832031,141.12722778320312,10.327227783203114
S001,S007,5179.657800128225,314.2220458984375,364.2220458984375,180.2220458984375,15.7220458984375
S001,S008,5983.170216573233,356.33746337890625,406.33746337890625,222.33746337890625,135.43746337890627
S001,S009,2659.297911633031,217.6104736328125,267.6104736328125,83.6104736328125,37.6104736328125
S001,S010,3707.6479701128087,343.6112060546875,393.6112060546875,209.6112060546875,42.01120605468748
S001,S011,2350.3360860171365,178.04286193847656,228.04286193847656,44.04286193847656,15.942861938476568
S001,S012,4696.513291627057,253.31507873535156,303.31507873535156,119.31507873535156,23.51507873535155
S001,S013,2894.2496690637063,321.70806884765625,371.70806884765625,187.70806884765625,20.00806884765626
S001,S014,5198.596162989784,405.0832214355469,455.0832214355469,271.0832214355469,104.08322143554688
S001,S015,5494.311766798541,436.229248046875,486.229248046875,302.229248046875,11.729248046875
S002,O01,7435.2682483091,355.8477783203125,405.8477783203125,186.3477783203125,278.1477783203125
S002,S001,4375.111429947296,266.29071044921875,316.29071044921875,96.79071044921875,132.29071044921875
S002,S003,9766.525853187639,308.51068115234375,358.51068115234375,139.01068115234375,20.01068115234375
S002,S004,2246.1060981727182,271.2457275390625,321.2457275390625,101.7457275390625,92.94572753906249
S002,S005,3474.1318201907675,258.9542541503906,308.9542541503906,89.45425415039062,113.95425415039062
S002,S006,9199.75149792535,517.8421020507812,567.8421020507812,348.34210205078125,253.04210205078124
S002,S007,8119.467045487778,314.2220458984375,364.2220458984375,144.7220458984375,15.7220458984375
S002,S008,4795.75091995656,259.3684387207031,309.3684387207031,89.86843872070312,38.46843872070315
S002,S009,1730.8827143173448,207.42649841308594,257.42649841308594,37.92649841308594,27.426498413085938
S002,S010,5938.017877533433,327.08203125,377.08203125,157.58203125,25.482031249999977
S002,S011,5790.086452584073,311.78533935546875,361.78533935546875,142.28533935546875,149.68533935546876
S002,S012,3071.9972666342474,285.02691650390625,335.02691650390625,115.52691650390625,55.22691650390624
S002,S013,4556.4253269828,321.70806884765625,371.70806884765625,152.20806884765625,20.00806884765626
S002,S014,7680.86897763051,360.494384765625,410.494384765625,190.994384765625,59.494384765625
S002,S015,7156.956228405488,436.229248046875,486.229248046875,266.729248046875,11.729248046875
S003,O01,7261.0655409538485,539.3092651367188,589.3092651367188,250.80926513671875,461.60926513671876
S003,S001,7646.659009326058,308.51068115234375,358.51068115234375,20.01068115234375,174.51068115234375
S003,S002,9766.525853187639,672.2648315429688,722.2648315429688,383.76483154296875,502.76483154296875
S003,S004,8230.547637960408,701.016845703125,751.016845703125,412.516845703125,522.716845703125
S003,S005,6332.68305025165,547.7522583007812,597.7522583007812,259.25225830078125,402.75225830078125
S003,S006,4808.568012109442,508.9108581542969,558.9108581542969,220.41085815429688,244.11085815429686
S003,S007,2732.819379995153,340.25994873046875,390.25994873046875,51.75994873046875,41.75994873046875
S003,S008,6261.086594538331,728.3842163085938,778.3842163085938,439.88421630859375,507.4842163085938
S003,S009,8884.798812209401,533.1013793945312,583.1013793945312,244.60137939453125,353.10137939453125
S003,S010,11208.756415778262,447.7925720214844,497.7925720214844,159.29257202148438,146.19257202148435
S003,S011,5348.792842148937,308.51068115234375,358.51068115234375,20.01068115234375,146.41068115234376
S003,S012,11798.876846452911,521.2055053710938,571.2055053710938,232.70550537109375,291.40550537109374
S003,S013,10540.907031525781,352.1977844238281,402.1977844238281,63.697784423828125,50.497784423828136
S003,S014,12372.475028998615,515.6901245117188,565.6901245117188,227.19012451171875,214.69012451171875
S003,S015,2614.3562499141703,471.0312194824219,521.0312194824219,182.53121948242188,46.531219482421875
S004,O01,7745.651742751971,322.0750427246094,372.0750427246094,143.77504272460936,244.3750427246094
S004,S001,4947.397665203851,263.0527038574219,313.0527038574219,84.75270385742186,129.05270385742188
S004,S002,2246.1060981727182,292.4277038574219,342.4277038574219,114.12770385742186,122.92770385742188
S004,S003,8230.547637960408,338.620361328125,388.620361328125,160.320361328125,50.120361328125
S004,S005,2616.5100450468835,330.35888671875,380.35888671875,152.05888671875,185.35888671875
S004,S006,8731.247626205603,670.895751953125,720.895751953125,492.595751953125,406.095751953125
S004,S007,7107.951861397632,568.4234008789062,618.4234008789062,390.12340087890624,269.92340087890625
S004,S008,2607.406751047093,248.2891845703125,298.2891845703125,69.98918457031249,27.389184570312523
S004,S009,2992.117958428195,283.93890380859375,333.93890380859375,105.63890380859374,103.93890380859375
S004,S010,7564.544903096997,321.5816650390625,371.5816650390625,143.2816650390625,19.981665039062477
S004,S011,5422.186185981828,335.5636291503906,385.5636291503906,157.2636291503906,173.46362915039063
S004,S012,5283.739027383003,300.28125,350.28125,121.98124999999999,70.48124999999999
S004,S013,6210.781847328471,331.4889831542969,381.4889831542969,153.18898315429686,29.788983154296886
S004,S014,9318.312212892464,320.9825134277344,370.9825134277344,142.68251342773436,19.982513427734375
S004,S015,5649.046264106804,436.229248046875,486.229248046875,257.929248046875,11.729248046875
S005,O01,5302.0128076982855,210.37881469726562,260.3788146972656,65.37881469726562,132.67881469726564
S005,S001,2935.3982704178266,316.6746826171875,366.6746826171875,171.6746826171875,182.6746826171875
S005,S002,3474.1318201907675,313.630615234375,363.630615234375,168.630615234375,144.130615234375
S005,S003,6332.68305025165,308.51068115234375,358.51068115234375,163.51068115234375,20.01068115234375
S005,S004,2616.5100450468835,354.7595520019531,404.7595520019531,209.75955200195312,176.4595520019531
S005,S006,6124.005239420578,535.872314453125,585.872314453125,390.872314453125,271.072314453125
S005,S007,4690.978012733275,386.3735656738281,436.3735656738281,241.37356567382812,87.87356567382812
S005,S008,3047.7742448848744,248.2891845703125,298.2891845703125,103.2891845703125,27.389184570312523
S005,S009,2645.6165640723684,189.4370880126953,239.4370880126953,44.43708801269531,9.437088012695312
S005,S010,6365.828619761172,321.5816650390625,371.5816650390625,176.5816650390625,19.981665039062477
S005,S011,2812.7579349761068,274.3507080078125,324.3507080078125,129.3507080078125,112.2507080078125
S005,S012,5613.472595564874,253.31507873535156,303.31507873535156,108.31507873535156,23.51507873535155
S005,S013,5214.407218590375,321.70806884765625,371.70806884765625,176.70806884765625,20.00806884765626
