objective,n_tasks,n_batteries_used,Cmax_transport_s,Cmax_transport_h,total_charge_s
N,14,7,23126.3,6.42,28625.3
E,19,11,13734.1,3.82,32665.0
T,14,7,21669.9,6.02,28359.5
